<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP,D,20050110,000000,8.1858,8.6409,7.8289,7.9255,372426,0
ATP,D,20050111,000000,7.8609,8.0549,7.6006,7.8609,88785,0
ATP,D,20050112,000000,7.6006,7.8936,7.4385,7.7954,63717,0
ATP,D,20050113,000000,7.7954,8.0884,7.7954,8.0549,58881,0
ATP,D,20050114,000000,8.0549,8.1858,7.8289,8.1858,30218,0
ATP,D,20050117,000000,8.1203,8.1858,8.0549,8.1531,46620,0
ATP,D,20050118,000000,8.1531,8.4454,8.1203,8.3151,55810,0
ATP,D,20050119,000000,8.3151,8.3798,8.3151,8.3151,47215,0
ATP,D,20050120,000000,8.3151,8.3151,8.3151,8.3151,33703,0
ATP,D,20050124,000000,8.3151,8.3151,8.0549,8.1858,13658,0
ATP,D,20050125,000000,7.8609,8.1858,7.8609,8.1858,1330,0
ATP,D,20050126,000000,8.0549,8.1203,8.0549,8.1203,18282,0
ATP,D,20050127,000000,7.9255,8.1858,7.8936,8.1858,8303,0
ATP,D,20050128,000000,7.9902,8.1858,7.9902,8.1858,23689,0
ATP,D,20050131,000000,8.1203,8.2177,8.1203,8.2177,1858,0
ATP,D,20050201,000000,8.0549,8.3151,8.0549,8.3151,8011,0
ATP,D,20050202,000000,8.1858,8.3151,8.1858,8.3151,21804,0
ATP,D,20050203,000000,8.2177,8.3151,8.2177,8.3151,21905,0
ATP,D,20050204,000000,8.1531,8.3151,8.1531,8.3151,8280,0
ATP,D,20050207,000000,8.3151,8.3151,8.2832,8.3151,16026,0
ATP,D,20050208,000000,8.3151,8.3151,8.3151,8.3151,4616,0
ATP,D,20050209,000000,8.3151,8.3151,8.3151,8.3151,53219,0
ATP,D,20050210,000000,8.3151,8.3151,8.3151,8.3151,4008,0
ATP,D,20050211,000000,8.3471,8.3471,8.3471,8.3471,8394,0
ATP,D,20050214,000000,8.2506,8.2506,8.2506,8.2506,2379,0
ATP,D,20050215,000000,8.2832,8.3151,8.2832,8.3151,392,0
ATP,D,20050216,000000,8.3151,8.4454,8.3151,8.4454,25553,0
ATP,D,20050217,000000,8.5755,8.5755,8.2506,8.3798,4049,0
ATP,D,20050218,000000,8.2177,8.4454,8.1858,8.4454,1232,0
ATP,D,20050221,000000,8.2506,8.2506,8.2506,8.2506,196,0
ATP,D,20050222,000000,8.2506,8.2506,8.2506,8.2506,3079,0
ATP,D,20050223,000000,8.3471,8.3471,8.3471,8.3471,3079,0
ATP,D,20050224,000000,8.1858,8.3798,8.0229,8.3798,9703,0
ATP,D,20050225,000000,8.4454,8.4454,8.4126,8.4454,7696,0
ATP,D,20050228,000000,8.2506,8.4454,8.1203,8.4454,10822,0
ATP,D,20050301,000000,8.2506,8.4454,8.0549,8.4454,55076,0
ATP,D,20050302,000000,8.478,8.478,8.4454,8.4454,7184,0
ATP,D,20050303,000000,8.2506,8.4454,8.2506,8.4454,2631,0
ATP,D,20050304,000000,8.3471,8.51,8.3471,8.51,235,0
ATP,D,20050307,000000,8.4454,8.4454,8.4454,8.4454,15393,0
ATP,D,20050309,000000,8.2506,8.3798,8.2506,8.3798,1232,0
ATP,D,20050314,000000,8.1858,8.3798,8.1858,8.3798,1924,0
ATP,D,20050316,000000,8.2177,8.2506,7.7954,8.2506,5311,0
ATP,D,20050317,000000,8.0549,8.2177,7.8609,7.8609,4376,0
ATP,D,20050321,000000,7.9255,7.9255,7.9255,7.9255,2310,0
ATP,D,20050322,000000,7.9255,7.9255,7.9255,7.9255,84,0
ATP,D,20050323,000000,7.7634,7.9255,7.7634,7.9255,14774,0
ATP,D,20050324,000000,7.7634,7.9255,7.7634,7.9255,15548,0
ATP,D,20050329,000000,7.7634,7.7634,7.7634,7.7634,1078,0
ATP,D,20050330,000000,7.6325,7.698,7.5359,7.698,31050,0
ATP,D,20050331,000000,7.7307,7.7954,7.7307,7.7954,1279,0
ATP,D,20050405,000000,7.6325,7.6325,7.6325,7.6325,1078,0
ATP,D,20050411,000000,7.4704,7.4704,7.3084,7.4704,2524,0
ATP,D,20050412,000000,7.6006,7.6006,7.6006,7.6006,771,0
ATP,D,20050414,000000,7.4704,7.4704,7.4704,7.4704,693,0
ATP,D,20050415,000000,7.5686,7.6325,7.5686,7.6325,21656,0
ATP,D,20050418,000000,7.6006,7.6006,7.3084,7.3084,1492,0
ATP,D,20050419,000000,7.3084,7.3084,7.3084,7.3084,524,0
ATP,D,20050422,000000,7.4704,7.4704,7.4704,7.4704,2618,0
ATP,D,20050426,000000,7.3084,7.3084,7.2757,7.3084,40344,0
ATP,D,20050427,000000,7.1458,7.2757,7.0161,7.1785,10074,0
ATP,D,20050502,000000,7.0161,7.0161,7.0161,7.0161,265,0
ATP,D,20050504,000000,7.0161,7.0161,7.0161,7.0161,452,0
ATP,D,20050509,000000,7.1785,7.6325,7.1458,7.2112,25991,0
ATP,D,20050510,000000,7.2112,7.3084,7.1785,7.3084,1694,0
ATP,D,20050513,000000,7.1458,7.1458,7.1458,7.1458,123,0
ATP,D,20050517,000000,6.9839,6.9839,6.9839,6.9839,123,0
ATP,D,20050518,000000,6.8538,7.0813,6.8215,6.951,4766,0
ATP,D,20050519,000000,7.0813,7.0813,7.0813,7.0813,77,0
ATP,D,20050520,000000,6.9188,7.3729,6.9188,7.1132,3358,0
ATP,D,20050523,000000,7.2757,7.4065,7.1458,7.1458,17630,0
ATP,D,20050525,000000,7.2757,7.2757,7.1132,7.1132,277,0
ATP,D,20050527,000000,7.2757,7.2757,7.2757,7.2757,7024,0
ATP,D,20050530,000000,7.2757,7.4065,7.2757,7.4065,14628,0
ATP,D,20050531,000000,7.4065,7.666,7.4065,7.666,880,0
ATP,D,20050603,000000,7.5686,7.5686,7.504,7.504,1632,0
ATP,D,20050606,000000,7.4065,7.504,7.4065,7.504,15647,0
ATP,D,20050607,000000,7.4065,7.504,7.4065,7.504,3233,0
ATP,D,20050608,000000,7.4065,7.4065,7.3729,7.4065,12392,0
ATP,D,20050610,000000,7.4065,7.5686,7.4065,7.5686,6859,0
ATP,D,20050613,000000,7.6006,7.9255,7.4065,7.9255,5199,0
ATP,D,20050614,000000,7.4065,7.5359,7.4065,7.5359,786,0
ATP,D,20050616,000000,7.4065,7.4065,7.3729,7.3729,1538,0
ATP,D,20050620,000000,7.3729,7.3729,7.3084,7.3729,9392,0
ATP,D,20050621,000000,7.3084,7.4385,7.2757,7.4385,3263,0
ATP,D,20050622,000000,7.3084,7.3084,7.2757,7.3084,3925,0
ATP,D,20050623,000000,7.3084,7.3084,7.3084,7.3084,1001,0
ATP,D,20050624,000000,7.1785,7.2757,7.1785,7.2757,1500,0
ATP,D,20050627,000000,7.2757,7.2757,7.2757,7.2757,81,0
ATP,D,20050628,000000,7.2757,7.2757,7.2757,7.2757,11391,0
ATP,D,20050629,000000,7.3084,7.4385,7.3084,7.4385,9726,0
ATP,D,20050630,000000,7.3729,7.4385,7.3729,7.4385,5882,0
ATP,D,20050704,000000,7.2757,7.4065,7.2757,7.4065,2116,0
ATP,D,20050705,000000,7.4385,7.5686,7.4385,7.5686,306,0
ATP,D,20050708,000000,7.7307,7.7307,7.7307,7.7307,38,0
ATP,D,20050711,000000,7.5686,7.6006,7.5686,7.6006,370,0
ATP,D,20050714,000000,7.4385,7.4385,7.4385,7.4385,277,0
ATP,D,20050715,000000,7.4065,7.4065,7.4065,7.4065,171,0
ATP,D,20050718,000000,7.4065,7.4065,7.4065,7.4065,154,0
ATP,D,20050719,000000,7.4065,7.4065,7.4065,7.4065,139,0
ATP,D,20050721,000000,7.341,7.341,7.341,7.341,1694,0
ATP,D,20050722,000000,7.2757,7.2757,7.2757,7.2757,1538,0
ATP,D,20050725,000000,7.4385,7.4704,7.4385,7.4704,108,0
ATP,D,20050726,000000,7.3084,7.3084,7.3084,7.3084,539,0
ATP,D,20050727,000000,7.2112,7.3084,7.1132,7.3084,6816,0
ATP,D,20050728,000000,7.4704,7.4704,7.4704,7.4704,77,0
ATP,D,20050801,000000,7.4704,7.4704,7.4704,7.4704,77,0
ATP,D,20050802,000000,7.6006,7.698,7.4704,7.698,339,0
ATP,D,20050803,000000,7.5359,7.6006,7.5359,7.6006,285,0
ATP,D,20050805,000000,7.7954,7.8289,7.6006,7.7954,19037,0
ATP,D,20050808,000000,7.6325,7.9902,7.6325,7.8936,4041,0
ATP,D,20050809,000000,7.9902,8.3151,7.9902,8.1203,13443,0
ATP,D,20050810,000000,8.1531,8.2832,8.1531,8.2832,6693,0
ATP,D,20050811,000000,8.1203,8.1203,8.1203,8.1203,981,0
ATP,D,20050812,000000,8.1531,8.1531,8.1531,8.1531,651,0
ATP,D,20050816,000000,7.9902,8.0549,7.9902,8.0549,1300,0
ATP,D,20050817,000000,7.8936,8.0549,7.8936,8.0549,1713,0
ATP,D,20050818,000000,8.1203,8.6409,8.1203,8.4454,10613,0
ATP,D,20050819,000000,8.5755,8.6409,8.4454,8.4454,10090,0
ATP,D,20050822,000000,8.3151,8.3151,8.3151,8.3151,154,0
ATP,D,20050823,000000,8.9004,9.2889,8.835,9.1597,20800,0
ATP,D,20050824,000000,9.712,9.712,9.2889,9.387,17509,0
ATP,D,20050825,000000,9.42,9.42,8.932,9.0295,2048,0
ATP,D,20050826,000000,9.0295,9.0295,8.8669,8.9977,926,0
ATP,D,20050829,000000,8.9004,9.387,8.9004,9.387,2160,0
ATP,D,20050830,000000,9.42,9.4841,9.3229,9.387,7947,0
ATP,D,20050831,000000,9.1916,9.2568,9.1916,9.2568,8856,0
ATP,D,20050901,000000,9.42,9.42,9.0942,9.2889,1675,0
ATP,D,20050902,000000,9.0942,9.0942,8.9004,9.0942,1886,0
ATP,D,20050905,000000,9.0942,9.1916,8.9977,9.1916,1985,0
ATP,D,20050906,000000,9.0295,9.126,8.932,8.932,635,0
ATP,D,20050907,000000,9.0632,9.0632,9.0632,9.0632,733,0
ATP,D,20050908,000000,8.8669,9.0942,8.835,9.0942,1977,0
ATP,D,20050909,000000,8.932,8.932,8.7049,8.835,5126,0
ATP,D,20050912,000000,8.932,8.9977,8.932,8.9648,4037,0
ATP,D,20050913,000000,8.932,8.932,8.9004,8.9004,3695,0
ATP,D,20050914,000000,8.9004,9.0942,8.9004,9.0942,1386,0
ATP,D,20050915,000000,8.9004,8.932,8.7376,8.932,1046,0
