<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIPA,D,20211220,000000,27,27.2,27,27,930,0
BIPA,D,20211221,000000,27,27,26,26,403,0
BIPA,D,20211227,000000,27,27,26,26,320,0
BIPA,D,20211229,000000,26,26,26,26,215,0
BIPA,D,20220103,000000,26,26,26,26,28,0
BIPA,D,20220107,000000,26,26,26,26,50,0
BIPA,D,20220121,000000,25,25,25,25,54,0
BIPA,D,20220125,000000,25,25,25,25,100,0
BIPA,D,20220126,000000,25,25,25,25,183,0
BIPA,D,20220210,000000,24,24,24,24,325,0
BIPA,D,20220211,000000,23.2,23.2,23,23,390,0
BIPA,D,20220214,000000,22,22,22,22,100,0
