<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ING,D,19940125,000000,51.889,51.889,51.889,51.889,422467,0
ING,D,19940127,000000,51.889,51.889,51.889,51.889,581961,0
ING,D,19940131,000000,46.7,46.7,46.7,46.7,0,0
ING,D,19940201,000000,42.049,42.049,42.049,42.049,0,0
ING,D,19940203,000000,37.859,37.859,37.859,37.859,233331,0
ING,D,19940207,000000,34.593,34.593,34.593,34.593,748066,0
ING,D,19940208,000000,38.053,38.053,38.053,38.053,274011,0
ING,D,19940210,000000,38.053,38.053,38.053,38.053,736866,0
ING,D,19940214,000000,36.13,36.13,36.13,36.13,646191,0
ING,D,19940215,000000,35.361,35.361,35.361,35.361,621755,0
ING,D,19940217,000000,35.361,35.361,35.361,35.361,917088,0
ING,D,19940221,000000,32.287,32.287,32.287,32.287,906747,0
ING,D,19940222,000000,35.515,35.515,35.515,35.515,240454,0
ING,D,19940224,000000,39.051,39.051,39.051,39.051,618387,0
ING,D,19940228,000000,41.512,41.512,41.512,41.512,642554,0
ING,D,19940301,000000,41.473,41.473,41.473,41.473,215473,0
ING,D,19940303,000000,41.128,41.128,41.128,41.128,319383,0
ING,D,19940307,000000,39.051,39.051,39.051,39.051,490019,0
ING,D,19940308,000000,38.436,38.436,38.436,38.436,477564,0
ING,D,19940310,000000,38.398,38.398,38.398,38.398,489171,0
ING,D,19940314,000000,36.899,36.899,36.899,36.899,480504,0
ING,D,19940315,000000,36.513,36.513,36.513,36.513,417343,0
ING,D,19940317,000000,37.669,37.669,37.669,37.669,565891,0
ING,D,19940321,000000,36.513,36.513,36.513,36.513,358714,0
ING,D,19940322,000000,32.901,32.901,32.901,32.901,330119,0
ING,D,19940324,000000,34.939,34.939,34.939,34.939,459032,0
ING,D,19940328,000000,32.71,32.71,32.71,32.71,318464,0
ING,D,19940329,000000,29.442,29.442,29.442,29.442,274011,0
ING,D,19940331,000000,27.061,27.061,27.061,27.061,533463,0
ING,D,19940405,000000,29.212,29.212,29.212,29.212,393304,0
ING,D,19940407,000000,30.366,30.366,30.366,30.366,387552,0
ING,D,19940408,000000,28.443,28.443,28.443,28.443,205622,0
ING,D,19940411,000000,25.6,25.6,25.6,25.6,253212,0
ING,D,19940412,000000,23.062,23.062,23.062,23.062,0,0
ING,D,19940414,000000,23.062,23.062,23.062,23.062,302338,0
ING,D,19940418,000000,24.599,24.599,24.599,24.599,383486,0
ING,D,19940419,000000,25.368,25.368,25.368,25.368,422769,0
ING,D,19940421,000000,30.442,30.442,30.442,30.442,447390,0
ING,D,19940425,000000,30.366,30.366,30.366,30.366,391747,0
ING,D,19940426,000000,27.329,27.329,27.329,27.329,0,0
ING,D,19940428,000000,24.599,24.599,24.599,24.599,229336,0
ING,D,19940505,000000,26.521,26.521,26.521,26.521,427764,0
ING,D,19940506,000000,23.869,23.869,23.869,23.869,389527,0
ING,D,19940509,000000,24.215,24.215,24.215,24.215,342493,0
ING,D,19940510,000000,23.831,23.831,23.831,23.831,278506,0
ING,D,19940512,000000,24.292,24.292,24.292,24.292,447831,0
ING,D,19940516,000000,25.408,25.408,25.408,25.408,338553,0
ING,D,19940517,000000,25.408,25.408,25.408,25.408,379756,0
ING,D,19940519,000000,25.291,25.291,25.291,25.291,280518,0
ING,D,19940523,000000,25.368,25.368,25.368,25.368,343307,0
ING,D,19940524,000000,25.368,25.368,25.368,25.368,402680,0
ING,D,19940526,000000,24.907,24.907,24.907,24.907,525457,0
ING,D,19940530,000000,22.447,22.447,22.447,22.447,480481,0
ING,D,19940531,000000,22.87,22.87,22.87,22.87,352172,0
ING,D,19940601,000000,21.14,21.14,21.14,21.14,216832,0
ING,D,19940606,000000,19.988,19.988,19.988,19.988,344584,0
ING,D,19940607,000000,17.988,17.988,17.988,17.988,369170,0
ING,D,19940609,000000,16.911,16.911,16.911,16.911,537554,0
ING,D,19940613,000000,15.222,15.222,15.222,15.222,384892,0
ING,D,19940614,000000,13.721,13.721,13.721,13.721,795205,0
ING,D,19940616,000000,15.067,15.067,15.067,15.067,879651,0
ING,D,19940620,000000,13.876,13.876,13.876,13.876,603781,0
ING,D,19940621,000000,12.762,12.762,12.762,12.762,370566,0
ING,D,19940623,000000,12.377,12.377,12.377,12.377,659564,0
ING,D,19940627,000000,13.605,13.605,13.605,13.605,255432,0
ING,D,19940628,000000,14.22,14.22,14.22,14.22,281214,0
ING,D,19940630,000000,13.837,13.837,13.837,13.837,330979,0
ING,D,19940704,000000,13.876,13.876,13.876,13.876,142995,0
ING,D,19940705,000000,14.606,14.606,14.606,14.606,198581,0
ING,D,19940706,000000,14.606,14.606,14.606,14.606,114308,0
ING,D,19940707,000000,15.374,15.374,15.374,15.374,346142,0
ING,D,19940711,000000,16.529,16.529,16.529,16.529,439419,0
ING,D,19940712,000000,18.182,18.182,18.182,18.182,256920,0
ING,D,19940713,000000,19.988,19.988,19.988,19.988,580461,0
ING,D,19940714,000000,18.373,18.373,18.373,18.373,275115,0
ING,D,19940718,000000,18.065,18.065,18.065,18.065,267852,0
ING,D,19940719,000000,19.219,19.219,19.219,19.219,323787,0
ING,D,19940720,000000,17.296,17.296,17.296,17.296,379802,0
ING,D,19940721,000000,16.529,16.529,16.529,16.529,277264,0
ING,D,19940725,000000,15.336,15.336,15.336,15.336,367045,0
ING,D,19940726,000000,15.298,15.298,15.298,15.298,164814,0
ING,D,19940727,000000,15.413,15.413,15.413,15.413,112424,0
ING,D,19940728,000000,15.606,15.606,15.606,15.606,143809,0
ING,D,19940801,000000,15.606,15.606,15.606,15.606,121640,0
ING,D,19940802,000000,15.374,15.374,15.374,15.374,135303,0
ING,D,19940803,000000,15.374,15.374,15.374,15.374,188926,0
ING,D,19940804,000000,16.143,16.143,16.143,16.143,338195,0
ING,D,19940808,000000,16.375,16.375,16.375,16.375,219518,0
ING,D,19940809,000000,16.375,16.375,16.375,16.375,186264,0
ING,D,19940810,000000,15.72,15.72,15.72,15.72,198708,0
ING,D,19940811,000000,16.143,16.143,16.143,16.143,280680,0
ING,D,19940816,000000,15.761,15.761,15.761,15.761,166896,0
ING,D,19940817,000000,16.143,16.143,16.143,16.143,259360,0
ING,D,19940818,000000,16.911,16.911,16.911,16.911,377409,0
ING,D,19940822,000000,18.065,18.065,18.065,18.065,461610,0
ING,D,19940823,000000,18.373,18.373,18.373,18.373,296156,0
ING,D,19940824,000000,18.373,18.373,18.373,18.373,359051,0
ING,D,19940825,000000,17.988,17.988,17.988,17.988,278786,0
ING,D,19940829,000000,17.259,17.259,17.259,17.259,190772,0
ING,D,19940830,000000,17.568,17.568,17.568,17.568,113123,0
ING,D,19940831,000000,17.568,17.568,17.568,17.568,168627,0
ING,D,19940901,000000,15.836,15.836,15.836,15.836,232625,0
ING,D,19940905,000000,16.143,16.143,16.143,16.143,175434,0
ING,D,19940906,000000,15.49,15.49,15.49,15.49,211106,0
ING,D,19940907,000000,14.22,14.22,14.22,14.22,284561,0
ING,D,19940908,000000,15.644,15.644,15.644,15.644,149363,0
ING,D,19940912,000000,15.606,15.606,15.606,15.606,170939,0
ING,D,19940913,000000,14.835,14.835,14.835,14.835,140775,0
ING,D,19940914,000000,14.913,14.913,14.913,14.913,101934,0
ING,D,19940915,000000,14.991,14.991,14.991,14.991,112111,0
ING,D,19940919,000000,15.374,15.374,15.374,15.374,173111,0
ING,D,19940920,000000,14.606,14.606,14.606,14.606,119443,0
ING,D,19940921,000000,13.913,13.913,13.913,13.913,154962,0
ING,D,19940922,000000,13.954,13.954,13.954,13.954,123347,0
ING,D,19940926,000000,13.452,13.452,13.452,13.452,94914,0
ING,D,19940927,000000,13.222,13.222,13.222,13.222,115550,0
ING,D,19940928,000000,13.069,13.069,13.069,13.069,149827,0
ING,D,19940929,000000,13.684,13.684,13.684,13.684,109904,0
ING,D,19941003,000000,14.145,14.145,14.145,14.145,120861,0
ING,D,19941004,000000,14.067,14.067,14.067,14.067,78915,0
ING,D,19941005,000000,14.22,14.22,14.22,14.22,120093,0
ING,D,19941006,000000,13.837,13.837,13.837,13.837,235204,0
ING,D,19941007,000000,13.837,13.837,13.837,13.837,113076,0
ING,D,19941010,000000,12.453,12.453,12.453,12.453,339206,0
ING,D,19941011,000000,13.145,13.145,13.145,13.145,226953,0
ING,D,19941012,000000,12.838,12.838,12.838,12.838,145004,0
ING,D,19941013,000000,12.914,12.914,12.914,12.914,112820,0
ING,D,19941014,000000,12.8,12.8,12.8,12.8,90292,0
ING,D,19941017,000000,12.684,12.684,12.684,12.684,136489,0
ING,D,19941018,000000,12.991,12.991,12.991,12.991,163804,0
ING,D,19941019,000000,12.301,12.301,12.301,12.301,151616,0
ING,D,19941020,000000,12.377,12.377,12.377,12.377,132770,0
ING,D,19941021,000000,12.261,12.261,12.261,12.261,132097,0
ING,D,19941024,000000,11.453,11.453,11.453,11.453,180524,0
ING,D,19941025,000000,10.341,10.341,10.341,10.341,395208,0
ING,D,19941026,000000,9.916,9.916,9.916,9.916,399776,0
ING,D,19941027,000000,9.225,9.225,9.225,9.225,481480,0
ING,D,19941028,000000,8.3019,8.3019,8.3019,8.3019,466921,0
ING,D,19941102,000000,9.1091,9.1091,9.1091,9.1091,375526,0
ING,D,19941103,000000,9.686,9.686,9.686,9.686,453873,0
ING,D,19941104,000000,9.686,9.686,9.686,9.686,434516,0
ING,D,19941107,000000,9.225,9.225,9.225,9.225,147575,0
ING,D,19941108,000000,9.225,9.225,9.225,9.225,181209,0
ING,D,19941109,000000,8.84,8.84,8.84,8.84,135466,0
ING,D,19941110,000000,8.84,8.84,8.84,8.84,233275,0
