<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC,D,19971216,000000,13.947,13.947,13.947,13.947,39613,0
RPC,D,19971217,000000,14.575,14.575,14.575,14.575,36013,0
RPC,D,19971218,000000,13.947,13.947,13.947,13.947,26679,0
RPC,D,19971219,000000,13.391,13.391,13.391,13.391,9545,0
RPC,D,19971222,000000,12.065,12.065,12.065,12.065,0,0
RPC,D,19971223,000000,11.924,11.924,11.924,11.924,22558,0
RPC,D,19971229,000000,11.993,11.993,11.993,11.993,8204,0
RPC,D,19971230,000000,12.206,12.206,12.206,12.206,12057,0
RPC,D,19971231,000000,11.853,11.853,11.853,11.853,17301,0
RPC,D,19980105,000000,12.134,12.134,12.134,12.134,8321,0
RPC,D,19980106,000000,12.134,12.134,12.134,12.134,6979,0
RPC,D,19980107,000000,11.853,11.853,11.853,11.853,6388,0
RPC,D,19980108,000000,11.712,11.712,11.712,11.712,7015,0
RPC,D,19980109,000000,11.712,11.712,11.712,11.712,4291,0
RPC,D,19980112,000000,10.598,10.598,10.598,10.598,1435,0
RPC,D,19980113,000000,10.809,10.809,10.809,10.809,8212,0
RPC,D,19980114,000000,10.809,10.809,10.809,10.809,7082,0
RPC,D,19980115,000000,10.88,10.88,10.88,10.88,9038,0
RPC,D,19980116,000000,10.458,10.458,10.458,10.458,4837,0
RPC,D,19980119,000000,10.598,10.598,10.598,10.598,3346,0
RPC,D,19980120,000000,10.458,10.458,10.458,10.458,12484,0
RPC,D,19980121,000000,10.251,10.251,10.251,10.251,2307,0
RPC,D,19980122,000000,10.111,10.111,10.111,10.111,10056,0
RPC,D,19980123,000000,9.759,9.759,9.759,9.759,4032,0
RPC,D,19980126,000000,10.322,10.322,10.322,10.322,9681,0
RPC,D,19980127,000000,10.111,10.111,10.111,10.111,3963,0
RPC,D,19980128,000000,10.111,10.111,10.111,10.111,1158,0
RPC,D,19980129,000000,11.084,11.084,11.084,11.084,6785,0
RPC,D,19980130,000000,11.014,11.014,11.014,11.014,6347,0
RPC,D,19980202,000000,11.506,11.506,11.506,11.506,3412,0
RPC,D,19980203,000000,11.993,11.993,11.993,11.993,7429,0
RPC,D,19980204,000000,12.206,12.206,12.206,12.206,12271,0
RPC,D,19980205,000000,11.642,11.642,11.642,11.642,4011,0
RPC,D,19980206,000000,11.853,11.853,11.853,11.853,5830,0
RPC,D,19980209,000000,12.065,12.065,12.065,12.065,6368,0
RPC,D,19980210,000000,13.249,13.249,13.249,13.249,25168,0
RPC,D,19980211,000000,12.897,12.897,12.897,12.897,6351,0
RPC,D,19980212,000000,12.897,12.897,12.897,12.897,5736,0
RPC,D,19980213,000000,12.268,12.268,12.268,12.268,3169,0
RPC,D,19980216,000000,12.134,12.134,12.134,12.134,4080,0
RPC,D,19980217,000000,12.065,12.065,12.065,12.065,1534,0
RPC,D,19980218,000000,12.897,12.897,12.897,12.897,9710,0
RPC,D,19980219,000000,13.735,13.735,13.735,13.735,21304,0
RPC,D,19980220,000000,12.897,12.897,12.897,12.897,17132,0
RPC,D,19980223,000000,13.109,13.109,13.109,13.109,20094,0
RPC,D,19980224,000000,13.249,13.249,13.249,13.249,9824,0
RPC,D,19980225,000000,12.833,12.833,12.833,12.833,14655,0
RPC,D,19980226,000000,12.897,12.897,12.897,12.897,9760,0
RPC,D,19980227,000000,12.897,12.897,12.897,12.897,7713,0
RPC,D,19980302,000000,12.693,12.693,12.693,12.693,6191,0
RPC,D,19980303,000000,12.897,12.897,12.897,12.897,7192,0
RPC,D,19980304,000000,12.551,12.551,12.551,12.551,7272,0
RPC,D,19980305,000000,12.48,12.48,12.48,12.48,2956,0
RPC,D,19980306,000000,12.268,12.268,12.268,12.268,5496,0
RPC,D,19980309,000000,12.48,12.48,12.48,12.48,10221,0
RPC,D,19980310,000000,12.551,12.551,12.551,12.551,6296,0
RPC,D,19980311,000000,12.967,12.967,12.967,12.967,13457,0
RPC,D,19980312,000000,12.41,12.41,12.41,12.41,4933,0
RPC,D,19980313,000000,13.036,13.036,13.036,13.036,4662,0
RPC,D,19980316,000000,13.036,13.036,13.036,13.036,6689,0
RPC,D,19980317,000000,13.249,13.249,13.249,13.249,4174,0
RPC,D,19980318,000000,13.735,13.735,13.735,13.735,16835,0
RPC,D,19980319,000000,13.947,13.947,13.947,13.947,31533,0
RPC,D,19980320,000000,13.876,13.876,13.876,13.876,12458,0
