<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,D,19941026,000000,18.761,18.761,18.761,18.761,22781,0
STX,D,19941027,000000,16.952,16.952,16.952,16.952,105135,0
STX,D,19941028,000000,17.086,17.086,17.086,17.086,80685,0
STX,D,19941102,000000,18.761,18.761,18.761,18.761,63308,0
STX,D,19941103,000000,18.761,18.761,18.761,18.761,65629,0
STX,D,19941104,000000,17.89,17.89,17.89,17.89,40204,0
STX,D,19941107,000000,17.421,17.421,17.421,17.421,48486,0
STX,D,19941108,000000,17.22,17.22,17.22,17.22,34272,0
STX,D,19941109,000000,17.22,17.22,17.22,17.22,46203,0
STX,D,19941110,000000,16.751,16.751,16.751,16.751,40485,0
STX,D,19941114,000000,15.076,15.076,15.076,15.076,46594,0
STX,D,19941115,000000,13.602,13.602,13.602,13.602,96563,0
STX,D,19941116,000000,12.932,12.932,12.932,12.932,110055,0
STX,D,19941117,000000,14.205,14.205,14.205,14.205,109779,0
STX,D,19941118,000000,13.536,13.536,13.536,13.536,61478,0
STX,D,19941121,000000,12.73,12.73,12.73,12.73,79063,0
STX,D,19941122,000000,11.458,11.458,11.458,11.458,137995,0
STX,D,19941123,000000,12.061,12.061,12.061,12.061,60784,0
STX,D,19941124,000000,11.993,11.993,11.993,11.993,28548,0
STX,D,19941125,000000,12.128,12.128,12.128,12.128,35983,0
STX,D,19941128,000000,13.334,13.334,13.334,13.334,47268,0
STX,D,19941129,000000,14.608,14.608,14.608,14.608,94952,0
STX,D,19941130,000000,16.014,16.014,16.014,16.014,129007,0
STX,D,19941201,000000,17.555,17.555,17.555,17.555,104017,0
STX,D,19941202,000000,17.555,17.555,17.555,17.555,136380,0
STX,D,19941205,000000,16.751,16.751,16.751,16.751,107119,0
STX,D,19941206,000000,17.555,17.555,17.555,17.555,116523,0
STX,D,19941207,000000,15.814,15.814,15.814,15.814,96166,0
STX,D,19941208,000000,14.272,14.272,14.272,14.272,0,0
STX,D,19941209,000000,13.266,13.266,13.266,13.266,110354,0
STX,D,19941212,000000,14.54,14.54,14.54,14.54,266558,0
STX,D,19941213,000000,14.406,14.406,14.406,14.406,79205,0
STX,D,19941214,000000,13.937,13.937,13.937,13.937,81340,0
STX,D,19941215,000000,14.54,14.54,14.54,14.54,66742,0
STX,D,19941216,000000,15.344,15.344,15.344,15.344,59564,0
STX,D,19941219,000000,16.014,16.014,16.014,16.014,103591,0
STX,D,19941220,000000,15.41,15.41,15.41,15.41,56227,0
STX,D,19941221,000000,15.545,15.545,15.545,15.545,38794,0
STX,D,19941222,000000,15.679,15.679,15.679,15.679,40320,0
STX,D,19941223,000000,16.081,16.081,16.081,16.081,52573,0
STX,D,19941227,000000,16.081,16.081,16.081,16.081,51676,0
STX,D,19941228,000000,15.41,15.41,15.41,15.41,37614,0
STX,D,19941229,000000,15.747,15.747,15.747,15.747,49095,0
STX,D,19950102,000000,16.617,16.617,16.617,16.617,35896,0
STX,D,19950103,000000,17.22,17.22,17.22,17.22,99969,0
STX,D,19950104,000000,16.751,16.751,16.751,16.751,98889,0
STX,D,19950105,000000,17.287,17.287,17.287,17.287,77051,0
STX,D,19950106,000000,15.747,15.747,15.747,15.747,41122,0
STX,D,19950109,000000,16.349,16.349,16.349,16.349,24834,0
STX,D,19950110,000000,16.081,16.081,16.081,16.081,49809,0
STX,D,19950111,000000,15.747,15.747,15.747,15.747,34422,0
STX,D,19950112,000000,15.814,15.814,15.814,15.814,49106,0
STX,D,19950113,000000,16.55,16.55,16.55,16.55,44318,0
STX,D,19950116,000000,16.416,16.416,16.416,16.416,39138,0
STX,D,19950117,000000,16.751,16.751,16.751,16.751,140617,0
STX,D,19950118,000000,16.751,16.751,16.751,16.751,105008,0
STX,D,19950119,000000,17.086,17.086,17.086,17.086,57884,0
STX,D,19950120,000000,16.617,16.617,16.617,16.617,32768,0
STX,D,19950123,000000,15.814,15.814,15.814,15.814,27509,0
STX,D,19950124,000000,15.344,15.344,15.344,15.344,50638,0
STX,D,19950125,000000,15.344,15.344,15.344,15.344,63967,0
STX,D,19950126,000000,15.01,15.01,15.01,15.01,36745,0
STX,D,19950127,000000,14.54,14.54,14.54,14.54,23969,0
STX,D,19950130,000000,13.134,13.134,13.134,13.134,44125,0
STX,D,19950131,000000,13.066,13.066,13.066,13.066,105388,0
STX,D,19950201,000000,13.669,13.669,13.669,13.669,38774,0
STX,D,19950202,000000,12.463,12.463,12.463,12.463,64233,0
STX,D,19950203,000000,12.194,12.194,12.194,12.194,32021,0
STX,D,19950206,000000,13.401,13.401,13.401,13.401,15484,0
STX,D,19950207,000000,14.741,14.741,14.741,14.741,174480,0
STX,D,19950208,000000,14.741,14.741,14.741,14.741,130214,0
STX,D,19950209,000000,14.741,14.741,14.741,14.741,66550,0
STX,D,19950210,000000,14.071,14.071,14.071,14.071,31625,0
STX,D,19950213,000000,13.736,13.736,13.736,13.736,54418,0
STX,D,19950214,000000,14.339,14.339,14.339,14.339,34208,0
STX,D,19950215,000000,14.339,14.339,14.339,14.339,32291,0
STX,D,19950216,000000,14.608,14.608,14.608,14.608,34537,0
STX,D,19950217,000000,14.741,14.741,14.741,14.741,52270,0
STX,D,19950220,000000,14.071,14.071,14.071,14.071,15315,0
STX,D,19950221,000000,12.664,12.664,12.664,12.664,54958,0
STX,D,19950222,000000,13.134,13.134,13.134,13.134,22347,0
STX,D,19950223,000000,13.669,13.669,13.669,13.669,43821,0
STX,D,19950224,000000,15.01,15.01,15.01,15.01,221599,0
STX,D,19950227,000000,13.87,13.87,13.87,13.87,39547,0
STX,D,19950228,000000,13.536,13.536,13.536,13.536,32286,0
STX,D,19950301,000000,13.334,13.334,13.334,13.334,27713,0
STX,D,19950302,000000,13.669,13.669,13.669,13.669,16278,0
STX,D,19950303,000000,14.071,14.071,14.071,14.071,75795,0
STX,D,19950306,000000,14.071,14.071,14.071,14.071,23559,0
STX,D,19950307,000000,14.071,14.071,14.071,14.071,31376,0
STX,D,19950308,000000,14.071,14.071,14.071,14.071,16879,0
STX,D,19950309,000000,14.004,14.004,14.004,14.004,21851,0
STX,D,19950310,000000,13.937,13.937,13.937,13.937,44593,0
STX,D,19950313,000000,13.669,13.669,13.669,13.669,23630,0
STX,D,19950314,000000,13.2,13.2,13.2,13.2,29016,0
STX,D,19950315,000000,13.2,13.2,13.2,13.2,34281,0
STX,D,19950316,000000,13.066,13.066,13.066,13.066,17948,0
STX,D,19950317,000000,12.865,12.865,12.865,12.865,17645,0
STX,D,19950320,000000,12.73,12.73,12.73,12.73,15787,0
STX,D,19950321,000000,12.664,12.664,12.664,12.664,26019,0
STX,D,19950322,000000,12.463,12.463,12.463,12.463,24554,0
STX,D,19950323,000000,12.329,12.329,12.329,12.329,19832,0
STX,D,19950324,000000,12.396,12.396,12.396,12.396,19159,0
STX,D,19950327,000000,12.53,12.53,12.53,12.53,30686,0
STX,D,19950328,000000,12.128,12.128,12.128,12.128,23089,0
STX,D,19950329,000000,12.061,12.061,12.061,12.061,21681,0
STX,D,19950330,000000,12.262,12.262,12.262,12.262,32295,0
STX,D,19950331,000000,12.597,12.597,12.597,12.597,28381,0
STX,D,19950403,000000,12.664,12.664,12.664,12.664,26058,0
STX,D,19950404,000000,12.797,12.797,12.797,12.797,46884,0
STX,D,19950405,000000,12.73,12.73,12.73,12.73,56163,0
STX,D,19950406,000000,13.2,13.2,13.2,13.2,80529,0
STX,D,19950407,000000,13.467,13.467,13.467,13.467,68236,0
STX,D,19950410,000000,14.741,14.741,14.741,14.741,169222,0
STX,D,19950411,000000,15.41,15.41,15.41,15.41,111639,0
