<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUW,D,19981014,000000,2.7156,2.7156,2.7156,2.7156,9789,0
SUW,D,19981015,000000,2.4594,2.4594,2.4594,2.4594,0,0
SUW,D,19981016,000000,2.2203,2.2203,2.2203,2.2203,0,0
SUW,D,19981019,000000,2.2031,2.2031,2.2031,2.2031,763,0
SUW,D,19981020,000000,2.2203,2.2203,2.2203,2.2203,13015,0
SUW,D,19981021,000000,2.3484,2.3484,2.3484,2.3484,4188,0
SUW,D,19981022,000000,2.1285,2.1285,2.1285,2.1285,12001,0
SUW,D,19981023,000000,2.0922,2.0922,2.0922,2.0922,5161,0
SUW,D,19981026,000000,2.2031,2.2031,2.2031,2.2031,13449,0
SUW,D,19981027,000000,2.2031,2.2031,2.2031,2.2031,2641,0
SUW,D,19981028,000000,2.1476,2.1476,2.1476,2.1476,4324,0
SUW,D,19981029,000000,2.1113,2.1113,2.1113,2.1113,1061,0
SUW,D,19981030,000000,2.2949,2.2949,2.2949,2.2949,2562,0
SUW,D,19981102,000000,2.2566,2.2566,2.2566,2.2566,1255,0
SUW,D,19981103,000000,2.2949,2.2949,2.2949,2.2949,1307,0
SUW,D,19981104,000000,2.2949,2.2949,2.2949,2.2949,18751,0
SUW,D,19981105,000000,2.2758,2.2758,2.2758,2.2758,1375,0
SUW,D,19981106,000000,2.3484,2.3484,2.3484,2.3484,5992,0
SUW,D,19981109,000000,2.3484,2.3484,2.3484,2.3484,5501,0
SUW,D,19981110,000000,2.2203,2.2203,2.2203,2.2203,2719,0
SUW,D,19981112,000000,2.2203,2.2203,2.2203,2.2203,1088,0
SUW,D,19981113,000000,2.1648,2.1648,2.1648,2.1648,1631,0
SUW,D,19981116,000000,2.2031,2.2031,2.2031,2.2031,5009,0
SUW,D,19981117,000000,2.0922,2.0922,2.0922,2.0922,5825,0
SUW,D,19981118,000000,2.1113,2.1113,2.1113,2.1113,1903,0
SUW,D,19981119,000000,2.0195,2.0195,2.0195,2.0195,3906,0
SUW,D,19981120,000000,2.0558,2.0558,2.0558,2.0558,10908,0
SUW,D,19981123,000000,2.1285,2.1285,2.1285,2.1285,5992,0
SUW,D,19981124,000000,2.0195,2.0195,2.0195,2.0195,10348,0
SUW,D,19981125,000000,1.9086,1.9086,1.9086,1.9086,3812,0
SUW,D,19981126,000000,1.8722,1.8722,1.8722,1.8722,1537,0
SUW,D,19981127,000000,1.9449,1.9449,1.9449,1.9449,5297,0
SUW,D,19981130,000000,2.0731,2.0731,2.0731,2.0731,11185,0
SUW,D,19981201,000000,1.9277,1.9277,1.9277,1.9277,2991,0
SUW,D,19981202,000000,1.9813,1.9813,1.9813,1.9813,1631,0
SUW,D,19981203,000000,1.9813,1.9813,1.9813,1.9813,162,0
SUW,D,19981204,000000,1.9813,1.9813,1.9813,1.9813,6536,0
SUW,D,19981207,000000,1.964,1.964,1.964,1.964,1386,0
SUW,D,19981208,000000,1.964,1.964,1.964,1.964,3211,0
SUW,D,19981209,000000,1.9277,1.9277,1.9277,1.9277,3812,0
SUW,D,19981210,000000,1.9813,1.9813,1.9813,1.9813,2719,0
SUW,D,19981211,000000,1.9086,1.9086,1.9086,1.9086,3817,0
SUW,D,19981214,000000,1.8531,1.8531,1.8531,1.8531,8006,0
SUW,D,19981215,000000,1.6695,1.6695,1.6695,1.6695,1631,0
SUW,D,19981216,000000,1.8168,1.8168,1.8168,1.8168,3268,0
SUW,D,19981217,000000,1.8168,1.8168,1.8168,1.8168,2719,0
SUW,D,19981218,000000,1.6428,1.6428,1.6428,1.6428,3268,0
SUW,D,19981221,000000,1.7977,1.7977,1.7977,1.7977,544,0
SUW,D,19981222,000000,1.8359,1.8359,1.8359,1.8359,2128,0
SUW,D,19981223,000000,1.8359,1.8359,1.8359,1.8359,1323,0
SUW,D,19981228,000000,1.7977,1.7977,1.7977,1.7977,544,0
SUW,D,19981229,000000,1.8359,1.8359,1.8359,1.8359,1088,0
SUW,D,19981230,000000,1.8359,1.8359,1.8359,1.8359,1360,0
SUW,D,19981231,000000,1.7441,1.7441,1.7441,1.7441,2719,0
SUW,D,19990104,000000,1.7441,1.7441,1.7441,1.7441,544,0
SUW,D,19990105,000000,1.7441,1.7441,1.7441,1.7441,3268,0
SUW,D,19990106,000000,1.8264,1.8264,1.8264,1.8264,16607,0
SUW,D,19990107,000000,1.8264,1.8264,1.8264,1.8264,2719,0
SUW,D,19990108,000000,1.8264,1.8264,1.8264,1.8264,878,0
SUW,D,19990111,000000,1.7977,1.7977,1.7977,1.7977,2719,0
SUW,D,19990112,000000,1.6887,1.6887,1.6887,1.6887,12116,0
SUW,D,19990113,000000,1.6887,1.6887,1.6887,1.6887,2259,0
SUW,D,19990114,000000,1.6523,1.6523,1.6523,1.6523,30130,0
SUW,D,19990115,000000,1.6523,1.6523,1.6523,1.6523,9543,0
SUW,D,19990118,000000,1.725,1.725,1.725,1.725,9925,0
SUW,D,19990119,000000,1.725,1.725,1.725,1.725,6620,0
SUW,D,19990120,000000,1.6982,1.6982,1.6982,1.6982,1631,0
SUW,D,19990121,000000,1.5605,1.5605,1.5605,1.5605,5443,0
SUW,D,19990122,000000,1.6332,1.6332,1.6332,1.6332,544,0
SUW,D,19990125,000000,1.6236,1.6236,1.6236,1.6236,3969,0
SUW,D,19990126,000000,1.6236,1.6236,1.6236,1.6236,8800,0
SUW,D,19990127,000000,1.6332,1.6332,1.6332,1.6332,2813,0
SUW,D,19990128,000000,1.5969,1.5969,1.5969,1.5969,544,0
SUW,D,19990129,000000,1.5969,1.5969,1.5969,1.5969,3922,0
SUW,D,19990201,000000,1.6523,1.6523,1.6523,1.6523,1098,0
SUW,D,19990202,000000,1.6332,1.6332,1.6332,1.6332,298,0
SUW,D,19990203,000000,1.6332,1.6332,1.6332,1.6332,1469,0
SUW,D,19990204,000000,1.6523,1.6523,1.6523,1.6523,63,0
SUW,D,19990205,000000,1.6332,1.6332,1.6332,1.6332,1312,0
SUW,D,19990208,000000,1.5777,1.5777,1.5777,1.5777,15258,0
SUW,D,19990209,000000,1.5873,1.5873,1.5873,1.5873,59747,0
SUW,D,19990210,000000,1.6523,1.6523,1.6523,1.6523,1245,0
SUW,D,19990211,000000,1.6523,1.6523,1.6523,1.6523,544,0
SUW,D,19990212,000000,1.6332,1.6332,1.6332,1.6332,2719,0
SUW,D,19990215,000000,1.616,1.616,1.616,1.616,842,0
SUW,D,19990216,000000,1.6428,1.6428,1.6428,1.6428,512,0
SUW,D,19990217,000000,1.6523,1.6523,1.6523,1.6523,14165,0
SUW,D,19990218,000000,1.6236,1.6236,1.6236,1.6236,2175,0
SUW,D,19990219,000000,1.6332,1.6332,1.6332,1.6332,3268,0
SUW,D,19990222,000000,1.6064,1.6064,1.6064,1.6064,8345,0
SUW,D,19990223,000000,1.5605,1.5605,1.5605,1.5605,8586,0
SUW,D,19990224,000000,1.5414,1.5414,1.5414,1.5414,3812,0
SUW,D,19990225,000000,1.5242,1.5242,1.5242,1.5242,3650,0
SUW,D,19990226,000000,1.3769,1.3769,1.3769,1.3769,47960,0
SUW,D,19990301,000000,1.2851,1.2851,1.2851,1.2851,61378,0
SUW,D,19990302,000000,1.3406,1.3406,1.3406,1.3406,6589,0
SUW,D,19990303,000000,1.3406,1.3406,1.3406,1.3406,4309,0
SUW,D,19990304,000000,1.2947,1.2947,1.2947,1.2947,3958,0
SUW,D,19990305,000000,1.3215,1.3215,1.3215,1.3215,5872,0
SUW,D,19990308,000000,1.3215,1.3215,1.3215,1.3215,4889,0
SUW,D,19990309,000000,1.3406,1.3406,1.3406,1.3406,11959,0
SUW,D,19990310,000000,1.3482,1.3482,1.3482,1.3482,1030,0
SUW,D,19990311,000000,1.3769,1.3769,1.3769,1.3769,16309,0
SUW,D,19990312,000000,1.3865,1.3865,1.3865,1.3865,2175,0
SUW,D,19990315,000000,1.3941,1.3941,1.3941,1.3941,11948,0
