<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,3.046,3.1847,2.9735,2.9735,207492,0
IFI,D,20080325,000000,2.8479,3.0066,2.6231,2.6431,47514,0
IFI,D,20080326,000000,2.6297,2.7091,2.4448,2.4844,103794,0
IFI,D,20080327,000000,2.6231,2.6231,2.4909,2.5436,11559,0
IFI,D,20080328,000000,2.5705,2.5705,2.4448,2.5374,11830,0
IFI,D,20080331,000000,2.4448,2.5638,2.3458,2.5571,25087,0
IFI,D,20080401,000000,2.5638,2.6036,2.4448,2.4976,7025,0
IFI,D,20080402,000000,2.5108,2.5176,2.3922,2.4581,10483,0
IFI,D,20080403,000000,2.4185,2.4185,2.2467,2.2531,25480,0
IFI,D,20080404,000000,2.2665,2.2665,2.0813,2.1739,42448,0
IFI,D,20080407,000000,2.1474,2.1608,2.0813,2.1474,22271,0
IFI,D,20080408,000000,2.0749,2.5042,2.0483,2.5042,89948,0
IFI,D,20080409,000000,2.4976,2.7619,2.4383,2.7619,98346,0
IFI,D,20080410,000000,2.7752,2.8081,2.6828,2.7223,11766,0
IFI,D,20080411,000000,2.7752,3.165,2.7752,3.1254,123263,0
IFI,D,20080414,000000,2.8413,3.0197,2.8413,2.9669,5917,0
IFI,D,20080415,000000,2.9735,2.9865,2.7821,2.7886,1167,0
IFI,D,20080416,000000,2.9669,3.0725,2.7886,3.0066,64621,0
IFI,D,20080417,000000,2.9735,2.9735,2.7886,2.795,4969,0
IFI,D,20080418,000000,2.7752,2.795,2.6165,2.795,15469,0
IFI,D,20080421,000000,2.8283,2.8939,2.8283,2.8939,3696,0
IFI,D,20080422,000000,2.8283,2.9403,2.8283,2.9403,1908,0
IFI,D,20080423,000000,2.9603,2.9603,2.9603,2.9603,18,0
IFI,D,20080424,000000,2.7752,2.9403,2.7752,2.9403,763,0
IFI,D,20080425,000000,2.7821,2.8545,2.7821,2.8545,734,0
IFI,D,20080428,000000,2.8744,2.8744,2.663,2.8148,3084,0
IFI,D,20080429,000000,2.8148,2.8148,2.6431,2.6431,20863,0
IFI,D,20080430,000000,2.7685,2.9007,2.7685,2.9007,26437,0
IFI,D,20080505,000000,2.9007,2.9403,2.7752,2.9007,17542,0
IFI,D,20080506,000000,3.2245,3.2245,2.8744,3.0399,1737,0
IFI,D,20080507,000000,3.0925,3.0925,3.0925,3.0925,1,0
IFI,D,20080508,000000,2.8081,2.8349,2.7091,2.7223,10633,0
IFI,D,20080509,000000,2.7223,2.8148,2.7091,2.8148,2634,0
IFI,D,20080512,000000,2.8148,2.9339,2.8148,2.9339,106,0
IFI,D,20080513,000000,2.6431,2.8545,2.6362,2.8545,1927,0
IFI,D,20080515,000000,2.577,2.7752,2.577,2.7752,12420,0
IFI,D,20080516,000000,2.5176,2.6101,2.4448,2.4448,19432,0
IFI,D,20080519,000000,2.5108,2.577,2.4448,2.577,30407,0
IFI,D,20080520,000000,2.5705,2.5705,2.5705,2.5705,16,0
IFI,D,20080521,000000,2.3325,2.5638,2.3325,2.5638,1458,0
IFI,D,20080523,000000,2.5705,2.6431,2.5705,2.6165,1879,0
IFI,D,20080526,000000,2.6231,2.6231,2.5571,2.5571,116,0
IFI,D,20080527,000000,2.4448,2.6101,2.4448,2.6101,443,0
IFI,D,20080529,000000,2.4118,2.6101,2.3525,2.3789,4124,0
IFI,D,20080530,000000,2.4448,2.4448,2.2136,2.4383,8750,0
IFI,D,20080602,000000,2.3059,2.3059,2.3059,2.3059,1512,0
IFI,D,20080603,000000,2.2797,2.2797,2.1871,2.2731,3021,0
IFI,D,20080604,000000,2.1474,2.2665,2.1474,2.1474,2210,0
IFI,D,20080605,000000,2.2136,2.3589,2.2136,2.3589,2162,0
IFI,D,20080606,000000,2.3128,2.5042,2.3128,2.5042,325,0
IFI,D,20080609,000000,2.5571,2.5571,2.5571,2.5571,1,0
IFI,D,20080610,000000,2.0483,2.0483,2.0483,2.0483,93,0
IFI,D,20080611,000000,2.4448,2.4448,2.4448,2.4448,93,0
IFI,D,20080612,000000,2.4383,2.5108,2.0616,2.3789,1396,0
IFI,D,20080613,000000,2.3722,2.3722,2.3722,2.3722,2089,0
IFI,D,20080616,000000,2.3789,2.3789,2.3789,2.3789,2,0
IFI,D,20080617,000000,2.4383,2.4383,2.4383,2.4383,5,0
IFI,D,20080618,000000,2.5108,2.5108,2.5108,2.5108,1,0
IFI,D,20080619,000000,2.5436,2.6101,2.5436,2.6101,2,0
IFI,D,20080620,000000,2.5968,2.5968,2.5968,2.5968,227,0
IFI,D,20080624,000000,2.4781,2.4781,2.4383,2.4383,200,0
IFI,D,20080626,000000,2.4781,2.4781,2.4781,2.4781,14,0
IFI,D,20080627,000000,2.1541,2.3589,2.0483,2.3128,26093,0
IFI,D,20080630,000000,2.3128,2.3128,2.3128,2.3128,556,0
IFI,D,20080701,000000,2.0483,2.1474,2.0152,2.1144,5136,0
IFI,D,20080702,000000,1.9823,2.1144,1.9361,2.1077,1136,0
IFI,D,20080703,000000,1.9823,2.0813,1.9559,2.0679,17490,0
IFI,D,20080707,000000,2.0749,2.0749,1.9493,2.0483,1967,0
IFI,D,20080708,000000,1.9823,1.9823,1.9823,1.9823,227,0
IFI,D,20080711,000000,1.9823,2.0679,1.9493,2.0483,3135,0
IFI,D,20080714,000000,2.0813,2.0813,2.0813,2.0813,77,0
IFI,D,20080715,000000,1.8896,1.9692,1.7906,1.9692,3513,0
IFI,D,20080716,000000,1.7906,1.9163,1.7906,1.9163,1706,0
IFI,D,20080717,000000,1.9228,2.0616,1.9228,2.0616,197,0
IFI,D,20080718,000000,2.0616,2.0616,2.0616,2.0616,227,0
IFI,D,20080723,000000,1.9823,1.9823,1.9823,1.9823,1198,0
IFI,D,20080729,000000,1.8965,1.8965,1.8896,1.8896,430,0
IFI,D,20080730,000000,1.8833,2.0152,1.8833,2.0152,350,0
IFI,D,20080805,000000,1.9757,1.9757,1.8502,1.8502,2395,0
IFI,D,20080806,000000,1.9493,1.9493,1.8833,1.8833,1203,0
IFI,D,20080807,000000,2.0023,2.0023,2.0023,2.0023,305,0
IFI,D,20080808,000000,1.9163,1.9163,1.7841,1.9163,1074,0
IFI,D,20080811,000000,1.9757,1.9757,1.9757,1.9757,589,0
IFI,D,20080813,000000,1.9493,2.0417,1.9493,2.0417,4537,0
IFI,D,20080814,000000,2.1474,2.1474,1.7576,1.9823,1696,0
IFI,D,20080818,000000,2.0221,2.0221,2.0221,2.0221,1,0
IFI,D,20080819,000000,1.7841,1.9823,1.7841,1.9823,706,0
IFI,D,20080821,000000,1.8037,1.9033,1.8037,1.9033,2089,0
IFI,D,20080822,000000,1.8965,1.8965,1.7841,1.8171,3693,0
IFI,D,20080825,000000,1.9757,1.9757,1.9757,1.9757,1,0
IFI,D,20080826,000000,1.9823,2.0023,1.9823,2.0023,277,0
IFI,D,20080828,000000,1.9163,1.989,1.7377,1.989,1894,0
IFI,D,20080901,000000,1.9493,1.9493,1.7712,1.7841,7635,0
IFI,D,20080902,000000,1.7841,1.8171,1.751,1.8171,2741,0
IFI,D,20080904,000000,1.8103,1.8103,1.8103,1.8103,540,0
IFI,D,20080908,000000,1.8037,1.8037,1.8037,1.8037,549,0
IFI,D,20080909,000000,1.8037,1.8103,1.8037,1.8103,368,0
IFI,D,20080910,000000,1.8037,1.8103,1.8037,1.8103,216,0
IFI,D,20080916,000000,1.7841,1.7841,1.3546,1.7114,5464,0
IFI,D,20080917,000000,1.6517,1.6517,1.6517,1.6517,1119,0
IFI,D,20080918,000000,1.5195,1.5989,1.5195,1.5989,943,0
IFI,D,20080919,000000,1.586,1.586,1.586,1.586,302,0
IFI,D,20080922,000000,1.586,1.586,1.586,1.586,152,0
IFI,D,20080924,000000,1.5661,1.5661,1.5528,1.5528,1515,0
IFI,D,20080925,000000,1.5593,1.7046,1.5593,1.7046,171,0
IFI,D,20080926,000000,1.7114,1.8171,1.6517,1.7712,7948,0
IFI,D,20080929,000000,1.6917,1.7712,1.6917,1.7179,9894,0
IFI,D,20080930,000000,1.6585,1.6585,1.6321,1.6517,8025,0
IFI,D,20081001,000000,1.7114,1.7445,1.7114,1.7445,682,0
IFI,D,20081002,000000,1.6849,1.6849,1.6849,1.6849,164,0
IFI,D,20081003,000000,1.7445,1.7445,1.6321,1.7114,2729,0
IFI,D,20081006,000000,1.6123,1.6189,1.4869,1.5195,7065,0
IFI,D,20081007,000000,1.5265,1.5265,1.3148,1.4538,35057,0
IFI,D,20081008,000000,1.3743,1.4538,1.3218,1.3218,27690,0
IFI,D,20081009,000000,1.3411,1.3411,1.3411,1.3411,452,0
IFI,D,20081010,000000,1.3218,1.3218,1.1894,1.1894,18959,0
IFI,D,20081013,000000,1.3218,1.4207,1.3218,1.3546,6388,0
IFI,D,20081014,000000,1.2952,1.3876,1.2554,1.3743,21510,0
IFI,D,20081015,000000,1.3411,1.4538,1.3411,1.4538,13838,0
IFI,D,20081016,000000,1.3411,1.3478,1.2884,1.3478,7485,0
IFI,D,20081017,000000,1.3016,1.3016,1.2819,1.2819,11973,0
IFI,D,20081020,000000,1.2554,1.2554,1.2554,1.2554,1512,0
IFI,D,20081021,000000,1.2223,1.2489,1.2223,1.2489,4381,0
IFI,D,20081022,000000,1.1894,1.1894,1.1234,1.1234,2120,0
IFI,D,20081023,000000,1.0638,1.1234,1.0574,1.117,24312,0
IFI,D,20081024,000000,1.044,1.044,1.0308,1.0308,6177,0
IFI,D,20081027,000000,0.9844,1.2423,0.9844,1.2423,16467,0
IFI,D,20081028,000000,1.2819,1.3084,1.2223,1.2687,7274,0
IFI,D,20081029,000000,1.2884,1.3478,1.2819,1.2819,2193,0
IFI,D,20081030,000000,1.2884,1.3016,1.2884,1.2884,6585,0
IFI,D,20081031,000000,1.2223,1.2753,1.2223,1.2753,3916,0
IFI,D,20081103,000000,1.2687,1.2687,1.2554,1.2554,7126,0
