<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP,D,20080619,000000,4.6677,21.184,4.6677,5.7446,8265,0
MVP,D,20080620,000000,5.7446,6.3191,5.3143,5.4936,36707,0
MVP,D,20080623,000000,5.3858,5.3858,5.0271,5.3786,6310,0
MVP,D,20080624,000000,5.5615,5.5615,5.1163,5.3858,3561,0
MVP,D,20080625,000000,5.3858,5.3858,5.206,5.206,5264,0
MVP,D,20080626,000000,5.0805,5.2782,5.0271,5.2782,1157,0
MVP,D,20080627,000000,5.0627,5.6803,5.0627,5.5654,428,0
MVP,D,20080630,000000,5.6729,6.2368,5.4936,5.7412,482,0
MVP,D,20080701,000000,6.1001,6.1001,5.5654,5.7412,145,0
MVP,D,20080702,000000,5.7446,5.7446,5.709,5.709,8,0
MVP,D,20080703,000000,5.7446,5.7446,5.7446,5.7446,2,0
MVP,D,20080704,000000,5.4575,5.4575,5.4575,5.4575,579,0
MVP,D,20080707,000000,5.6155,5.6155,5.4288,5.4288,74,0
MVP,D,20080708,000000,5.4288,5.4288,5.407,5.407,5,0
MVP,D,20080709,000000,5.4218,5.655,5.4218,5.655,51,0
MVP,D,20080710,000000,5.6729,5.6729,5.3858,5.4575,6928,0
MVP,D,20080711,000000,5.4648,5.4648,5.2242,5.3858,286,0
MVP,D,20080714,000000,5.447,5.447,5.26,5.447,2849,0
MVP,D,20080715,000000,5.447,5.4575,5.447,5.4575,1286,0
MVP,D,20080716,000000,5.5222,5.5222,5.2782,5.4575,126,0
MVP,D,20080717,000000,5.5185,5.5185,5.5043,5.5043,5,0
MVP,D,20080718,000000,5.5222,5.5222,5.2743,5.5222,145,0
MVP,D,20080721,000000,5.4862,5.4862,5.4862,5.4862,5,0
MVP,D,20080722,000000,5.5222,5.5222,5.5222,5.5222,5,0
MVP,D,20080723,000000,5.7446,5.7446,5.5615,5.5615,5,0
MVP,D,20080724,000000,5.5222,5.5222,5.5222,5.5222,5,0
MVP,D,20080725,000000,5.26,5.26,5.26,5.26,5,0
MVP,D,20080728,000000,5.26,5.26,5.26,5.26,2,0
MVP,D,20080729,000000,5.26,5.26,5.26,5.26,28,0
MVP,D,20080730,000000,5.2421,5.2421,5.206,5.206,257,0
MVP,D,20080731,000000,5.1703,5.1703,4.9548,4.9548,2046,0
MVP,D,20080801,000000,4.9188,5.3858,4.9188,5.3858,3169,0
MVP,D,20080804,000000,5.7446,5.7446,5.7268,5.7268,570,0
MVP,D,20080805,000000,5.4396,5.4396,5.4396,5.4396,2,0
MVP,D,20080806,000000,5.4753,5.4753,5.4753,5.4753,2,0
MVP,D,20080807,000000,5.4753,5.4753,5.4753,5.4753,2,0
MVP,D,20080808,000000,5.4575,5.4575,5.4575,5.4575,2,0
MVP,D,20080811,000000,5.4575,5.4575,5.4575,5.4575,2,0
MVP,D,20080812,000000,5.4719,5.4719,5.4719,5.4719,2,0
MVP,D,20080813,000000,5.4719,5.4719,5.4719,5.4719,2,0
MVP,D,20080814,000000,5.4719,5.4719,5.4719,5.4719,5,0
MVP,D,20080818,000000,5.4719,5.4719,5.4719,5.4719,2,0
MVP,D,20080819,000000,5.4753,5.4753,5.454,5.454,979,0
MVP,D,20080820,000000,5.3858,5.3858,5.3858,5.3858,2,0
MVP,D,20080821,000000,5.3858,5.3858,5.3858,5.3858,31,0
MVP,D,20080822,000000,5.3858,5.3858,5.3858,5.3858,2,0
MVP,D,20080825,000000,5.3858,5.3858,5.3858,5.3858,2,0
MVP,D,20080826,000000,5.3858,5.3858,5.3858,5.3858,2,0
