<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG,D,19870102,000000,49.942,50.706,49.183,49.942,0,0
UCG,D,19870105,000000,50.706,51.277,50.706,50.706,0,0
UCG,D,19870107,000000,52.04,52.415,50.706,50.706,0,0
UCG,D,19870108,000000,49.942,49.942,48.414,48.6,0,0
UCG,D,19870109,000000,48.6,48.983,48.6,48.6,0,0
UCG,D,19870112,000000,48.6,48.6,48.6,48.6,0,0
UCG,D,19870113,000000,48.6,48.6,48.6,48.6,0,0
UCG,D,19870114,000000,48.6,48.6,48.6,48.6,0,0
UCG,D,19870115,000000,49.559,49.559,49.559,49.559,0,0
UCG,D,19870116,000000,49.183,49.183,49.183,49.183,0,0
UCG,D,19870119,000000,48.414,48.414,48.414,48.414,0,0
UCG,D,19870120,000000,48.039,48.039,48.039,48.039,0,0
UCG,D,19870121,000000,47.845,47.845,47.845,47.845,0,0
UCG,D,19870122,000000,46.696,46.696,46.696,46.696,0,0
UCG,D,19870123,000000,47.27,47.27,47.27,47.27,0,0
UCG,D,19870126,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870127,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870128,000000,45.362,45.362,45.362,45.362,0,0
UCG,D,19870129,000000,46.507,46.507,46.507,46.507,0,0
UCG,D,19870130,000000,47.081,47.845,47.081,47.845,0,0
UCG,D,19870202,000000,47.081,47.081,47.081,47.081,0,0
UCG,D,19870203,000000,47.081,47.081,47.081,47.081,0,0
UCG,D,19870204,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870205,000000,46.316,46.316,46.316,46.316,0,0
UCG,D,19870206,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870209,000000,44.987,44.987,44.987,44.987,0,0
UCG,D,19870210,000000,44.792,44.792,44.792,44.792,0,0
UCG,D,19870211,000000,44.987,44.987,44.987,44.987,0,0
UCG,D,19870212,000000,44.406,44.987,44.406,44.406,0,0
UCG,D,19870213,000000,44.406,44.987,44.406,44.406,0,0
UCG,D,19870216,000000,45.558,45.558,45.558,45.558,0,0
UCG,D,19870217,000000,44.224,44.224,44.224,44.224,0,0
UCG,D,19870218,000000,44.032,44.032,44.032,44.032,0,0
UCG,D,19870219,000000,43.651,43.651,43.651,43.651,0,0
UCG,D,19870220,000000,43.651,43.651,43.651,43.651,0,0
UCG,D,19870223,000000,44.406,44.406,44.406,44.406,0,0
UCG,D,19870224,000000,44.604,44.604,44.604,44.604,0,0
UCG,D,19870225,000000,43.651,43.651,43.651,43.651,0,0
UCG,D,19870226,000000,43.266,43.266,43.266,43.266,0,0
UCG,D,19870227,000000,43.651,43.839,43.651,43.839,0,0
UCG,D,19870302,000000,43.266,43.266,43.266,43.266,0,0
UCG,D,19870303,000000,42.503,42.503,42.503,42.503,0,0
UCG,D,19870304,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870305,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870306,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870309,000000,42.317,42.317,42.317,42.317,0,0
UCG,D,19870310,000000,42.317,42.317,42.317,42.317,0,0
UCG,D,19870311,000000,42.503,42.503,42.503,42.503,0,0
UCG,D,19870312,000000,42.317,42.317,42.317,42.317,0,0
UCG,D,19870313,000000,42.503,42.503,42.503,42.503,0,0
UCG,D,19870316,000000,42.7,42.7,42.7,42.7,0,0
UCG,D,19870317,000000,43.651,44.032,43.651,43.651,0,0
UCG,D,19870318,000000,44.032,44.406,44.032,44.032,0,0
UCG,D,19870319,000000,43.651,43.839,43.651,43.651,0,0
UCG,D,19870320,000000,44.032,44.032,44.032,44.032,0,0
UCG,D,19870323,000000,44.792,44.792,44.792,44.792,0,0
UCG,D,19870324,000000,43.839,43.839,43.839,43.839,0,0
UCG,D,19870325,000000,43.46,43.46,43.46,43.46,0,0
UCG,D,19870326,000000,43.078,43.078,43.078,43.078,0,0
UCG,D,19870327,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870330,000000,42.317,42.317,42.317,42.317,0,0
UCG,D,19870331,000000,42.123,42.123,42.123,42.123,0,0
UCG,D,19870401,000000,42.123,42.123,42.123,42.123,0,0
UCG,D,19870402,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870403,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870406,000000,43.266,43.266,43.266,43.266,0,0
UCG,D,19870407,000000,43.266,43.266,43.266,43.266,0,0
UCG,D,19870408,000000,43.078,43.078,43.078,43.078,0,0
UCG,D,19870409,000000,42.888,43.651,42.888,42.888,0,0
UCG,D,19870410,000000,44.032,44.032,43.266,43.266,0,0
UCG,D,19870413,000000,44.792,45.362,44.604,45.362,0,0
UCG,D,19870414,000000,45.558,45.558,45.558,45.558,0,0
UCG,D,19870415,000000,45.362,45.558,45.362,45.362,0,0
UCG,D,19870416,000000,45.558,45.558,45.558,45.558,0,0
UCG,D,19870417,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870421,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870422,000000,45.941,45.941,45.941,45.941,0,0
UCG,D,19870423,000000,45.558,45.558,45.558,45.558,0,0
UCG,D,19870424,000000,45.362,45.362,45.362,45.362,0,0
UCG,D,19870427,000000,45.177,45.177,45.177,45.177,0,0
UCG,D,19870428,000000,43.651,44.406,43.651,43.651,0,0
UCG,D,19870429,000000,44.406,44.406,44.406,44.406,0,0
UCG,D,19870430,000000,44.032,44.987,44.032,44.032,0,0
UCG,D,19870504,000000,44.792,44.792,44.792,44.792,0,0
UCG,D,19870505,000000,44.987,44.987,44.987,44.987,0,0
UCG,D,19870506,000000,43.651,43.651,43.651,43.651,0,0
UCG,D,19870507,000000,43.651,43.651,43.651,43.651,0,0
UCG,D,19870508,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870511,000000,43.651,43.651,43.651,43.651,0,0
UCG,D,19870512,000000,42.317,42.317,42.317,42.317,0,0
UCG,D,19870513,000000,42.888,42.888,42.888,42.888,0,0
UCG,D,19870514,000000,39.456,39.456,39.456,39.456,0,0
UCG,D,19870515,000000,40.79,40.79,40.79,40.79,0,0
