<TICKER>        <NAME>
06N             06MAGNA
08N             08OCTAVA
11B             11BIT
1AT             ATAL
3RG             3RGAMES
4FM             4FUNMEDIA
AAT             ALTA
ABE             ABPL
ABS             ASSECOBS
ACG             ACAUTOGAZ
ACP             ASSECOPOL
ACT             ACTION
ADV             ADIUVO
AGO             AGORA
AGT             AGROTON
ALE             ALLEGRO
ALG             AIGAMES
ALI             ALTUS
ALL             AILLERON
ALR             ALIOR
AMB             AMBRA
AMC             AMICA
AML             ALUMETAL
ANR             ANSWEAR
APE             APSENERGY
APL             AMPLI
APN             APLISENS
APR             AUTOPARTN
APT             APATOR
ARH             ARCHICOM
ARR             ARTERIA
ART             ARTIFEX
ASB             ASBIS
ASE             ASSECOSEE
ASM             ASMGROUP
AST             ASTARTA
ATC             ARCTIC
ATD             ATENDE
ATG             ATMGRUPA
ATL             ATLASEST
ATP             ATLANTAPL
ATR             ATREM
ATS             ATLANTIS
ATT             GRUPAAZOTY
AUG             AUGA
AWM             AIRWAY
B24             BRAND24
BAH             BAHOLDING
BBD             BBIDEV
BBT             BOOMBIT
BCM             BETACOM
BCS             BIGCHEESE
BDX             BUDIMEX
BDZ             BEDZIN
BFT             BENEFIT
BHW             HANDLOWY
BIO             BIOTON
BIP             BIOPLANET
BIPA            BIOPLANET-PDA
BKM             PBKM
BMC             BUMECH
BML             BIOMEDLUB
BNP             BNPPPL
BOS             BOS
BOW             BOWIM
BRA             BRASTER
BRG             BERLING
BRS             BORYSZEW
BST             BEST
CAR             INTERCARS
CAV             CAVATINA
CCC             CCC
CCE             CCENERGY
CDL             CDRL
CDR             CDPROJEKT
CEZ             CEZ
CFI             CFI
CIE             CIECH
CIG             CIGAMES
CLE             COALENERG
CLN             CLNPHARMA
CMP             COMP
CMR             COMARCH
CNT             CNT
COG             COGNOR
CPA             CAPITAL
CPD             CELTIC
CPG             CPGROUP
CPL             COMPERIA
CPR             COMPREMUM
CPS             CYFRPLSAT
CRJ             CREEPYJAR
CRM             CORMAY
CTS             CITYSERV
CTX             CAPTORTX
CZT             CZTOREBKA
DAD             DADELO
DAT             DATAWALK
DBC             DEBICA
DCR             DECORA
DEK             DEKPOL
DEL             DELKO
DGA             DGA
DNP             DINOPL
DOM             DOMDEV
DPL             DROZAPOL
DRE             DREWEX
DTR             DIGITREE
DVL             DEVELIA
EAH             ESOTIQ
EAT             AMREST
ECH             ECHO
EDI             EDINVEST
EEX             EKOEXPORT
EFK             EFEKT
EHG             EUROHOLD
EKP             ELKOP
ELT             ELEKTROTI
ELZ             ELZAB
EMC             EMCINSMED
ENA             ENEA
ENE             ENELMED
ENG             ENERGA
ENI             ENERGOINS
ENP             ENAP
ENT             ENTER
ERB             ERBUD
ERG             ERG
EST             ESTAR
ETL             EUROTEL
EUC             EUCO
EUR             EUROCASH
FEE             FEERUM
FER             FERRUM
FFI             FASTFIN
FMF             FAMUR
FMG             FMG
FON             FON
FRO             FERRO
FSG             FASING
FTE             FORTE
GBK             GETBACK
GCN             GROCLIN
GIF             GAMFACTOR
GIG             GIGROUP
GKI             IMMOBILE
GLC             GLCOSMED
GNB             GETINOBLE
GOB             GOBARTO
GOP             GAMEOPS
GPP             GRUPRACUJ
GPW             GPW
