,<TICKER>,<NAME>
0,06n,06MAGNA
1,08n,08OCTAVA
2,11b,11BIT
3,1at,ATAL
4,3rg,3RGAMES
5,4fm,4FUNMEDIA
6,aat,ALTA
7,abe,ABPL
8,abs,ASSECOBS
9,acg,ACAUTOGAZ
10,acp,ASSECOPOL
11,act,ACTION
12,adv,ADIUVO
13,ago,AGORA
14,agt,AGROTON
15,ale,ALLEGRO
16,alg,AIGAMES
17,ali,ALTUS
18,all,AILLERON
19,alr,ALIOR
20,amb,AMBRA
21,amc,AMICA
22,aml,ALUMETAL
23,anr,ANSWEAR
24,ape,APSENERGY
25,apl,AMPLI
26,apn,APLISENS
27,apr,AUTOPARTN
28,apt,APATOR
29,arh,ARCHICOM
30,arr,ARTERIA
31,art,ARTIFEX
32,asb,ASBIS
33,ase,ASSECOSEE
34,asm,ASMGROUP
35,ast,ASTARTA
36,atc,ARCTIC
37,atd,ATENDE
38,atg,ATMGRUPA
39,atl,ATLASEST
40,atp,ATLANTAPL
41,atr,ATREM
42,ats,ATLANTIS
43,att,GRUPAAZOTY
44,aug,AUGA
45,awm,AIRWAY
46,b24,BRAND24
47,bah,BAHOLDING
48,bbd,BBIDEV
49,bbt,BOOMBIT
50,bcm,BETACOM
51,bcs,BIGCHEESE
52,bdx,BUDIMEX
53,bdz,BEDZIN
54,bft,BENEFIT
55,bhw,HANDLOWY
56,bio,BIOTON
57,bip,BIOPLANET
58,bipa,BIOPLANET-PDA
59,bkm,PBKM
60,bmc,BUMECH
61,bml,BIOMEDLUB
62,bnp,BNPPPL
63,bos,BOS
64,bow,BOWIM
65,bra,BRASTER
66,brg,BERLING
67,brs,BORYSZEW
68,bst,BEST
69,car,INTERCARS
70,cav,CAVATINA
71,ccc,CCC
72,cce,CCENERGY
73,cdl,CDRL
74,cdr,CDPROJEKT
75,cez,CEZ
76,cfi,CFI
77,cie,CIECH
78,cig,CIGAMES
79,cle,COALENERG
80,cln,CLNPHARMA
81,cmp,COMP
82,cmr,COMARCH
83,cnt,CNT
84,cog,COGNOR
85,cpa,CAPITAL
86,cpd,CELTIC
87,cpg,CPGROUP
88,cpl,COMPERIA
89,cpr,COMPREMUM
90,cps,CYFRPLSAT
91,crj,CREEPYJAR
92,crm,CORMAY
93,cts,CITYSERV
94,ctx,CAPTORTX
95,czt,CZTOREBKA
96,dad,DADELO
97,dat,DATAWALK
98,dbc,DEBICA
99,dcr,DECORA
100,dek,DEKPOL
101,del,DELKO
102,dga,DGA
103,dnp,DINOPL
104,dom,DOMDEV
105,dpl,DROZAPOL
106,dre,DREWEX
107,dtr,DIGITREE
108,dvl,DEVELIA
109,eah,ESOTIQ
110,eat,AMREST
111,ech,ECHO
112,edi,EDINVEST
113,eex,EKOEXPORT
114,efk,EFEKT
115,ehg,EUROHOLD
116,ekp,ELKOP
117,elt,ELEKTROTI
118,elz,ELZAB
119,emc,EMCINSMED
120,ena,ENEA
121,ene,ENELMED
122,eng,ENERGA
123,eni,ENERGOINS
124,enp,ENAP
125,ent,ENTER
126,erb,ERBUD
127,erg,ERG
128,est,ESTAR
129,etl,EUROTEL
130,euc,EUCO
131,eur,EUROCASH
132,fee,FEERUM
133,fer,FERRUM
134,ffi,FASTFIN
135,fmf,FAMUR
136,fmg,FMG
137,fon,FON
138,fro,FERRO
139,fsg,FASING
140,fte,FORTE
141,gbk,GETBACK
142,gcn,GROCLIN
143,gif,GAMFACTOR
144,gig,GIGROUP
145,gki,IMMOBILE
146,glc,GLCOSMED
147,gnb,GETINOBLE
148,gob,GOBARTO
149,gop,GAMEOPS
150,gpp,GRUPRACUJ
151,gpw,GPW
152,grn,GRODNO
153,grx,GREENX
154,gtc,GTC
155,gtn,GETIN
156,hdr,HYDROTOR
157,hel,HELIO
158,hld,HOLLYWOOD
159,hmi,HMINWEST
160,hrp,HARPER
161,hrs,HERKULES
162,huge,HUUUGE-S144
163,i2d,I2DEV
164,ibs,IBSM
165,ice,MEDINICE
166,idg,INDYGO
167,idm,IDMSA
168,ifc,IFCAPITAL
169,ifi,IFIRMA
170,ifr,IFSA
171,iia,IIAAV
172,imc,IMCOMPANY
173,imp,IMPERIO
174,ims,IMS
175,inc,INC
176,inf,INTERFERI
177,ing,INGBSK
178,ink,INSTALKRK
179,inl,INTROL
180,inp,INPRO
181,inv,INVISTA
182,ipe,IPOPEMA
183,ipf,PROVIDENT
184,ipo,INTERSPPL
185,irl,INTERAOLT
186,itb,INTERBUD
187,itm,ITMTRADE
188,izb,IZOBLOK
189,izo,IZOLACJA
190,izs,IZOSTAL
191,jsw,JSW
192,jww,JWWINVEST
193,k2h,K2HOLDING
194,kbd,KBDOM
195,kch,KRAKCHEM
196,kci,KCI
197,kdm,KDMSHIPNG
198,ker,KERNEL
199,kgh,KGHM
200,kgl,KGL
201,kgn,KOGENERA
202,kmp,KOMPAP
203,kom,KOMPUTRON
204,kpd,KPPD
205,kpl,KINOPOL
206,krc,KREC
207,kri,KREDYTIN
208,krk,KRKA
209,kru,KRUK
210,ksg,KSGAGRO
211,kty,KETY
212,kvt,KRVITAMIN
213,lab,LABOPRINT
214,lbt,LIBET
215,lbw,LUBAWA
216,len,LENA
217,lkd,LOKUM
218,lpp,LPP
219,lrk,LARK
220,lrq,LARQ
221,lsi,LSISOFT
222,lts,LOTOS
223,ltx,LENTEX
224,lvc,LIVECHAT
225,lwb,BOGDANKA
226,mab,MABION
227,mak,MAKARONPL
228,man,MANYDEV
229,mbk,MBANK
230,mbr,MOBRUK
231,mbw,MBWS
232,mci,MCI
233,mcp,MEDIACAP
234,mcr,MERCOR
235,mdg,MEDICALG
236,mdi,MDIENERGIA
237,meg,MEGARON
238,mex,MEXPOLSKA
239,mfo,MFO
240,mgt,MANGATA
241,mil,MILLENNIUM
242,mir,MIRACULUM
243,mlg,MLPGROUP
244,mlk,MILKILAND
245,mls,MLSYSTEM
246,mnc,MENNICA
247,moj,MOJ
248,mol,MOL
249,mon,MONNARI
250,mph,MASTERPHA
251,mrb,MIRBUD
252,mrc,MERCATOR
253,msp,MOSTALPLC
254,msw,MOSTALWAR
255,msz,MOSTALZAB
256,mvp,MARVIPOL
257,mwt,MWTRADE
258,mxc,MAXCOM
259,mza,MUZA
260,neu,NEUCA
261,nng,NANOGROUP
262,ntt,NTTSYSTEM
263,ntu,NOVATURAS
264,nva,PANOVA
265,nvg,NOVAVISGR
266,nvt,NOVITA
267,nwg,NEWAG
268,nxg,NEXITY
269,oat,OAT
270,obl,ORZBIALY
271,odl,ODLEWNIE
272,oex,OEX
273,ond,ONDE
274,opf,OPENFIN
275,opg,ORCOGROUP
276,opl,ORANGEPL
277,opm,OPTEAM
278,opn,OPONEO.PL
279,otm,OTMUCHOW
280,ots,OTLOG
281,ovo,OVOSTAR
282,pat,PATENTUS
283,pbf,PBSFINANSE
284,pbg,PBG
285,pbx,PEKABEX
286,pce,POLICE
287,pcf,PCFGROUP
288,pcg,PCGUARD
289,pco,PEPCO
290,pcr,PCCROKITA
291,pcx,PCCEXOL
292,pen,PHOTON
293,peo,PEKAO
294,pep,PEP
295,pge,PGE
296,pgm,PMPG
297,pgn,PGNIG
298,pgv,PGFGROUP
299,phn,PHN
300,phr,PHARMENA
301,pjp,PROJPRZEM
302,pkn,PKNORLEN
303,pko,PKOBP
304,pkp,PKPCARGO
305,plw,PLAYWAY
306,plx,PLASTBOX
307,plz,PLAZACNTR
308,pma,PRIMAMODA
309,pmp,PAMAPOL
310,pps,PEPEES
311,prd,PROCAD
312,pri,PRAGMAINK
313,prm,PROCHEM
314,prt,PROTEKTOR
315,ptg,POLTREG
316,pth,PRIMETECH
317,pue,ZPUE
318,pun,PUNKPIRAT
319,pur,PURE
320,pwx,POLWAX
321,pxm,POLIMEXMS
322,pzu,PZU
323,qnt,QUANTUM
324,qrs,QUERCUS
325,r22,R22
326,raf,RAFAMET
327,rbw,RAINBOW
328,rdl,RADPOL
329,rdn,REDAN
330,reg,REGNON
331,res,RESBUD
332,rfk,RAFAKO
333,rhd,REINHOLD
334,rlp,RELPOL
335,rmk,REMAK
336,rnc,REINO
337,rnk,RANKPROGR
338,ron,RONSON
339,rpc,ROPCZYCE
340,rvu,RYVU
341,rwl,RAWLPLUG
342,san,SANTANDER
343,sek,SEKO
344,sel,SELENAFM
345,sen,SERINUS
346,ses,SESCOM
347,sfg,SILVANO
348,sfs,SFINKS
349,sgn,SYGNITY
350,sgr,SADOVAYA
351,shd,SOHODEV
352,shg,STARHEDGE
353,sho,SHOPER
354,ska,SNIEZKA
355,skh,SKARBIEC
356,skl,SKYLINE
357,skt,SKOTAN
358,slv,SELVITA
359,slz,SLEEPZAG
360,sme,SIMPLE
361,snk,SANOK
362,snt,SYNEKTIK
363,snw,SANWIL
364,snx,SUNEX
365,sol,SOLAR
366,son,SONEL
367,sph,SOPHARMA
368,spl,SANPL
369,stf,STALPROFI
370,sth,STSHOLDING
371,stp,STALPROD
372,sts,SATIS
373,stx,STALEXP
374,suw,SUWARY
375,svrs,SILVAIR-REGS
376,swd,SWISSMED
377,swg,SECOGROUP
378,tar,TARCZYNSKI
379,tbl,TBULL
380,ten,TSGAMES
381,tim,TIM
382,tlx,TALEX
383,tmr,TATRY
384,toa,TOYA
