<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPF,D,20070716,000000,8.8716,9.4039,8.8403,9.3709,16537376,0
IPF,D,20070717,000000,9.523,9.625,9.3431,9.3431,18529926,0
IPF,D,20070718,000000,9.3431,9.505,9.3431,9.4542,18545945,0
IPF,D,20070719,000000,9.4986,9.549,9.2115,9.4601,23281051,0
IPF,D,20070720,000000,9.505,9.663,8.9305,8.9305,13227644,0
IPF,D,20070723,000000,9.2681,9.4542,9.0825,9.2883,9097854,0
IPF,D,20070724,000000,9.4661,9.4661,8.5734,8.5734,9128178,0
IPF,D,20070725,000000,8.6365,8.9241,8.2984,8.879,6537773,0
IPF,D,20070726,000000,8.9554,9.0632,8.3997,8.3997,8649424,0
IPF,D,20070727,000000,8.1191,8.2905,7.5239,7.7626,6823473,0
IPF,D,20070730,000000,7.8115,8.1454,7.5576,7.5576,9278770,0
IPF,D,20070731,000000,7.8888,7.9201,7.7626,7.9025,6157549,0
IPF,D,20070801,000000,7.7351,8.1691,7.5372,7.9837,25396552,0
IPF,D,20070802,000000,8.0549,8.0549,7.6587,7.7924,3864873,0
IPF,D,20070803,000000,7.8888,7.8888,7.4989,7.6012,4319688,0
IPF,D,20070806,000000,7.5576,7.6587,7.365,7.4543,4708823,0
IPF,D,20070807,000000,7.6328,7.703,7.3587,7.4612,4305767,0
IPF,D,20070808,000000,7.6012,7.6524,7.3458,7.428,5212256,0
IPF,D,20070809,000000,7.3718,7.5505,7.3395,7.4412,5919602,0
IPF,D,20070810,000000,7.2938,7.4989,7.0517,7.2244,7666416,0
IPF,D,20070813,000000,7.3395,7.4096,6.6684,7.0965,9847217,0
IPF,D,20070814,000000,7.0134,7.02,6.6109,6.6621,7123974,0
IPF,D,20070815,000000,6.5345,6.8602,6.1833,6.7899,4904823,0
IPF,D,20070816,000000,6.6878,6.6878,6.2276,6.4004,8233444,0
IPF,D,20070817,000000,6.2598,6.9433,6.2598,6.8219,29337333,0
IPF,D,20070820,000000,6.8985,7.0392,6.4387,6.7899,3169288,0
IPF,D,20070821,000000,7.0392,7.0392,6.4958,6.4958,2833695,0
IPF,D,20070822,000000,6.3875,6.8347,6.3875,6.7899,6179604,0
IPF,D,20070823,000000,6.9239,7.1223,6.8283,6.9878,1983398,0
