<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU,D,20110510,000000,35.406,37.303,34.819,37.134,1042010,0
KRU,D,20110511,000000,37.043,37.043,36.509,36.509,62069,0
KRU,D,20110512,000000,36.234,36.946,35.46,36.502,85960,0
KRU,D,20110513,000000,36.145,36.217,35.968,36.083,13977,0
KRU,D,20110516,000000,36.1,36.412,36.039,36.315,44714,0
KRU,D,20110517,000000,36.234,36.307,35.968,35.976,78023,0
KRU,D,20110518,000000,36.055,36.172,35.976,36.055,8859,0
KRU,D,20110519,000000,36.055,36.11,35.121,36.1,26384,0
KRU,D,20110520,000000,36.128,36.128,35.815,36.055,24363,0
KRU,D,20110523,000000,36.065,36.065,35.806,35.879,44267,0
KRU,D,20110524,000000,35.61,36.055,35.255,36.055,46588,0
KRU,D,20110525,000000,35.968,36.502,35.968,36.502,10347,0
KRU,D,20110526,000000,36.279,36.858,36.234,36.234,37452,0
KRU,D,20110527,000000,35.976,36.323,35.976,36.279,11168,0
KRU,D,20110530,000000,36.021,36.145,35.701,35.709,16904,0
KRU,D,20110531,000000,35.646,37.108,35.603,36.91,67895,0
KRU,D,20110601,000000,36.91,36.91,36.055,36.813,1715,0
KRU,D,20110602,000000,36.769,36.769,36.055,36.671,6801,0
KRU,D,20110603,000000,36.1,36.634,36.055,36.1,6522,0
KRU,D,20110606,000000,35.976,36.502,35.789,36.502,42949,0
KRU,D,20110607,000000,36.055,36.502,36.055,36.502,60913,0
KRU,D,20110608,000000,36.055,36.502,36.055,36.502,132626,0
KRU,D,20110609,000000,36.323,36.323,36.055,36.055,42469,0
KRU,D,20110610,000000,35.968,36.055,35.701,36.055,63826,0
KRU,D,20110613,000000,35.968,36.145,35.968,36.1,24568,0
KRU,D,20110614,000000,35.646,35.887,35.646,35.887,64939,0
KRU,D,20110615,000000,35.62,36.055,35.62,36.039,13215,0
KRU,D,20110616,000000,34.009,35.656,34.009,35.61,18840,0
KRU,D,20110617,000000,35.477,35.61,35.077,35.61,47481,0
KRU,D,20110620,000000,34.276,35.61,34.276,35.344,108829,0
KRU,D,20110621,000000,35.166,35.61,35.166,35.344,126813,0
KRU,D,20110622,000000,35.175,36.047,35.175,35.61,3445,0
KRU,D,20110624,000000,35.603,35.789,35.442,35.61,13159,0
KRU,D,20110627,000000,35.54,35.701,35.522,35.61,59373,0
KRU,D,20110628,000000,34.899,35.61,34.899,35.61,2948,0
KRU,D,20110629,000000,35.522,35.789,35.522,35.789,9355,0
KRU,D,20110630,000000,36.055,36.055,35.61,36.055,13076,0
KRU,D,20110701,000000,36.502,38.238,36.502,38.112,39374,0
KRU,D,20110704,000000,38.06,38.727,38.06,38.727,26425,0
KRU,D,20110705,000000,38.861,38.904,38.3,38.548,13986,0
KRU,D,20110706,000000,38.425,38.548,37.57,38.548,9745,0
KRU,D,20110707,000000,38.548,38.994,37.962,38.727,16135,0
KRU,D,20110708,000000,38.548,38.95,37.436,37.436,5768,0
KRU,D,20110711,000000,37.41,38.192,37.365,37.48,5069,0
KRU,D,20110712,000000,38.032,38.032,35.237,37.375,47948,0
KRU,D,20110713,000000,36.502,37.837,36.502,37.391,7217,0
KRU,D,20110714,000000,36.599,37.382,36.599,37.375,19052,0
