<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX,D,20120803,000000,0.9858,1.1664,0.9858,1.0534,473551,0
PCX,D,20120806,000000,1.076,1.1739,0.9706,1.1513,316797,0
PCX,D,20120807,000000,1.1664,1.392,1.0986,1.392,131125,0
PCX,D,20120808,000000,1.505,1.6555,1.3544,1.5425,220188,0
PCX,D,20120809,000000,1.4973,1.6404,1.4672,1.5877,67742,0
PCX,D,20120810,000000,1.5802,1.5802,1.5425,1.55,25536,0
PCX,D,20120813,000000,1.55,1.5802,1.55,1.55,20001,0
PCX,D,20120814,000000,1.55,1.55,1.5123,1.5123,3125,0
PCX,D,20120816,000000,1.565,1.5952,1.5425,1.5952,11393,0
PCX,D,20120817,000000,1.6102,1.6178,1.5877,1.6178,6845,0
PCX,D,20120820,000000,1.6555,1.693,1.5727,1.6555,1918,0
PCX,D,20120821,000000,1.7306,1.7306,1.6555,1.7231,3376,0
PCX,D,20120822,000000,1.7306,1.7306,1.6555,1.6555,3861,0
PCX,D,20120823,000000,1.678,1.678,1.6102,1.6102,21465,0
PCX,D,20120824,000000,1.6404,1.7156,1.6404,1.7156,6030,0
PCX,D,20120827,000000,1.6555,1.7156,1.6555,1.708,1800,0
PCX,D,20120828,000000,1.7156,1.7156,1.6253,1.6854,9302,0
PCX,D,20120829,000000,1.6854,1.7007,1.6854,1.7007,78,0
PCX,D,20120830,000000,1.693,1.693,1.6178,1.6178,10504,0
PCX,D,20120831,000000,1.5802,1.7457,1.4672,1.7306,54748,0
PCX,D,20120903,000000,1.7306,1.7532,1.7306,1.7532,3693,0
PCX,D,20120904,000000,1.7532,1.7532,1.7231,1.7306,246,0
PCX,D,20120905,000000,1.7306,1.7306,1.693,1.693,2023,0
PCX,D,20120906,000000,1.7156,1.7306,1.7156,1.7231,532,0
PCX,D,20120907,000000,1.7306,1.7306,1.7231,1.7231,265,0
PCX,D,20120910,000000,1.7306,1.7306,1.7306,1.7306,1619,0
PCX,D,20120911,000000,1.7306,1.7306,1.7231,1.7231,3833,0
PCX,D,20120912,000000,1.708,1.708,1.6555,1.708,679,0
PCX,D,20120913,000000,1.708,1.708,1.565,1.6178,13337,0
PCX,D,20120914,000000,1.6178,1.6178,1.5952,1.5952,1487,0
PCX,D,20120917,000000,1.5952,1.5952,1.5351,1.5351,2026,0
PCX,D,20120918,000000,1.5351,1.5952,1.4748,1.5802,29405,0
PCX,D,20120919,000000,1.5576,1.5877,1.5576,1.5877,1660,0
PCX,D,20120920,000000,1.5802,1.5802,1.5727,1.5802,153,0
PCX,D,20120921,000000,1.5802,1.5802,1.5123,1.5802,1264,0
PCX,D,20120924,000000,1.5877,1.5952,1.5877,1.5952,611,0
PCX,D,20120925,000000,1.5952,1.5952,1.5802,1.5802,65,0
PCX,D,20120926,000000,1.565,1.6178,1.5274,1.6178,11827,0
PCX,D,20120927,000000,1.6178,1.6178,1.5952,1.6102,1156,0
PCX,D,20120928,000000,1.6102,1.6478,1.6102,1.6478,265,0
PCX,D,20121001,000000,1.6478,1.6478,1.6404,1.6478,432,0
PCX,D,20121002,000000,1.6555,1.6555,1.5952,1.6555,13222,0
PCX,D,20121003,000000,1.6555,1.693,1.6327,1.678,4180,0
PCX,D,20121004,000000,1.693,1.693,1.6854,1.693,3654,0
PCX,D,20121005,000000,1.693,1.7007,1.6854,1.693,3455,0
PCX,D,20121008,000000,1.693,1.7306,1.6555,1.7306,2592,0
PCX,D,20121009,000000,1.7306,1.7306,1.7231,1.7306,532,0
PCX,D,20121010,000000,1.7306,1.7306,1.693,1.693,890,0
PCX,D,20121011,000000,1.708,1.7532,1.708,1.7457,1713,0
PCX,D,20121012,000000,1.7532,2.0316,1.7381,2.0316,21313,0
PCX,D,20121015,000000,2.0693,2.0693,2.0316,2.0693,3616,0
PCX,D,20121016,000000,2.0693,2.182,2.0617,2.182,10187,0
PCX,D,20121017,000000,2.2572,2.4456,2.2572,2.4379,43978,0
PCX,D,20121018,000000,2.4379,2.5584,2.4078,2.5584,22334,0
PCX,D,20121019,000000,2.5584,2.5584,2.4605,2.4605,10101,0
PCX,D,20121022,000000,2.3928,2.7089,2.3928,2.7089,27255,0
PCX,D,20121023,000000,2.7089,2.7992,2.4456,2.7992,33192,0
PCX,D,20121024,000000,2.7615,2.8594,2.7615,2.8442,29741,0
PCX,D,20121025,000000,2.8594,2.882,2.8518,2.8743,8041,0
PCX,D,20121026,000000,2.8968,2.9871,2.8894,2.9871,32704,0
PCX,D,20121029,000000,2.9871,3.0323,2.9798,3.0323,26279,0
PCX,D,20121030,000000,3.0475,3.1002,3.0475,3.1002,21023,0
PCX,D,20121031,000000,3.1002,3.2131,3.0925,3.2131,30258,0
PCX,D,20121102,000000,3.2131,3.2581,3.2054,3.2581,21980,0
PCX,D,20121105,000000,3.2581,3.3484,3.2581,3.3484,73124,0
PCX,D,20121106,000000,3.3484,3.3785,3.3183,3.3709,16853,0
PCX,D,20121107,000000,3.3709,3.386,3.0774,3.0851,27529,0
PCX,D,20121108,000000,3.0699,3.3484,2.5959,3.3409,42506,0
PCX,D,20121109,000000,3.3409,3.3409,3.1226,3.1603,5091,0
PCX,D,20121112,000000,3.0174,3.0851,3.0023,3.0097,7109,0
PCX,D,20121113,000000,2.9722,3.0023,2.8668,3.0023,781,0
PCX,D,20121114,000000,3.0023,3.0323,3.0023,3.0323,4186,0
PCX,D,20121115,000000,3.0174,3.0398,2.8968,3.0323,1902,0
PCX,D,20121116,000000,3.0323,3.0774,3.0097,3.0774,167,0
PCX,D,20121119,000000,3.0699,3.0774,3.0023,3.0625,961,0
PCX,D,20121120,000000,3.0625,3.0625,2.9346,3.0475,4652,0
PCX,D,20121121,000000,3.0097,3.0475,2.8594,3.0398,11823,0
PCX,D,20121122,000000,3.0097,3.0097,2.7089,2.8292,10180,0
PCX,D,20121123,000000,2.8968,2.8968,2.7238,2.8217,1319,0
PCX,D,20121126,000000,2.7765,2.7765,2.6938,2.7389,2113,0
PCX,D,20121127,000000,2.7389,2.7389,2.483,2.6186,10657,0
PCX,D,20121128,000000,2.6711,2.6711,2.2572,2.6637,16640,0
PCX,D,20121129,000000,2.7389,2.7389,2.7314,2.7314,34,0
PCX,D,20121130,000000,2.6863,2.6863,2.6336,2.6637,3582,0
PCX,D,20121203,000000,2.7089,2.7089,2.5734,2.5734,692,0
PCX,D,20121204,000000,2.6186,2.6186,2.4906,2.5358,2340,0
PCX,D,20121205,000000,2.5584,2.5584,2.4906,2.4906,566,0
PCX,D,20121206,000000,2.5584,2.7012,2.4078,2.7012,21884,0
PCX,D,20121207,000000,2.7012,2.9647,2.7012,2.9647,17385,0
PCX,D,20121210,000000,3.0097,3.0097,2.9346,3.0023,6325,0
PCX,D,20121211,000000,3.0097,3.0097,2.9948,2.9948,997,0
PCX,D,20121212,000000,3.0097,3.0097,2.8594,2.9722,1539,0
PCX,D,20121213,000000,2.9722,2.9722,2.9722,2.9722,19,0
PCX,D,20121214,000000,2.9722,2.9722,2.8292,2.9496,1534,0
PCX,D,20121217,000000,2.957,3.0851,2.7841,3.0097,12393,0
PCX,D,20121218,000000,3.0097,3.0097,2.8968,2.9346,3304,0
PCX,D,20121219,000000,2.9346,2.9346,2.9195,2.9346,2665,0
PCX,D,20121220,000000,2.9271,2.9722,2.8367,2.9722,864,0
PCX,D,20121221,000000,3.0097,3.0097,2.8594,3.0023,2799,0
PCX,D,20121227,000000,3.0097,3.0097,2.7841,3.0097,997,0
PCX,D,20121228,000000,3.0023,3.0097,2.8594,3.0097,1118,0
PCX,D,20130102,000000,2.9195,2.9195,2.7914,2.8367,8322,0
PCX,D,20130103,000000,2.8292,2.8292,2.8292,2.8292,34,0
PCX,D,20130104,000000,2.8442,2.8442,2.6336,2.6711,7588,0
PCX,D,20130107,000000,2.6711,2.6711,2.5659,2.6035,6181,0
PCX,D,20130108,000000,2.6035,2.9346,2.5584,2.9346,10809,0
PCX,D,20130109,000000,2.9496,2.9496,2.8894,2.8894,838,0
PCX,D,20130110,000000,2.8894,2.8894,2.8518,2.8743,205,0
PCX,D,20130111,000000,2.8367,2.8743,2.7841,2.8668,903,0
PCX,D,20130114,000000,2.8367,2.8367,2.7841,2.7841,24,0
PCX,D,20130115,000000,2.7841,2.8217,2.7464,2.8217,524,0
PCX,D,20130116,000000,2.7464,2.7841,2.7163,2.7163,65,0
PCX,D,20130117,000000,2.6863,2.7615,2.6863,2.7615,1210,0
PCX,D,20130118,000000,2.7089,2.7691,2.7089,2.7615,1023,0
PCX,D,20130121,000000,2.7765,2.7765,2.7464,2.7765,173,0
PCX,D,20130122,000000,2.7765,2.7765,2.7163,2.7691,114,0
PCX,D,20130123,000000,2.7691,2.7691,2.7163,2.7691,145,0
PCX,D,20130124,000000,2.7691,2.7691,2.6486,2.6711,3002,0
PCX,D,20130125,000000,2.6336,2.6711,2.5508,2.5734,4541,0
PCX,D,20130128,000000,2.5734,2.6637,2.5208,2.6637,997,0
PCX,D,20130129,000000,2.6336,2.6711,2.6109,2.6711,1237,0
PCX,D,20130130,000000,2.6186,2.6711,2.6186,2.6711,20,0
PCX,D,20130131,000000,2.6186,2.6711,2.6186,2.6711,84,0
PCX,D,20130201,000000,2.6186,2.6711,2.6186,2.6336,212,0
PCX,D,20130204,000000,2.6186,2.6412,2.5584,2.6412,1274,0
PCX,D,20130205,000000,2.6035,2.6035,2.483,2.5584,969,0
